Job Titles_En,Turkce_Meslek
Course Marshal,Yarış Gözetmeni
Craftsperson,Zanaatkar
Crane Operator,Vinç Operatörü
Creative,Yaratıcı
Creative Copywriter,Yaratıcı Metin Yazarı
Creative Designer,Yaratıcı Tasarımcı
Creative Director,Yaratıcılık Direktörü
Creative Executive,Yaratıcı Yönetici
Creative Manager,Yaratıcılık Yöneticisi
Creative Specialist,Yaratıcılık Uzmanı
Creative Strategist,Yaratıcı Stratejist
Creative Writer,Yaratıcı Yazar
Credit Administrator,Kredi Yöneticisi
Credit Analysis Executive,Kredi Analiz Yöneticisi
Credit Analyst,Kredi Analisti
Credit And Collection Staff,Kredi ve Tahsilat Personeli
Credit Assessment Executive,Kredi Değerlendirme Yöneticisi
Credit Assessor,Kredi Değerlendiricisi
Credit Assistant,Kredi Asistanı
Credit Collection Executive,Kredi Tahsilat Yöneticisi
Credit Control Assistant,Kredi Kontrol Asistanı
Credit Control Executive,Kredi Kontrol Yöneticisi
Credit Control Manager,Kredi Kontrol Yöneticisi
Credit Control Officer,Kredi Kontrol Görevlisi
Credit Control Supervisor,Kredi Kontrol Amiri
Credit Controller,Kredi Kontrolcüsü
Credit Evaluation Executive,Kredi Değerlendirme Yöneticisi
Credit Evaluation Manager,Kredi Değerlendirme Yöneticisi
Credit Executive,Kredi Yöneticisi
Credit Management Executive,Kredi Yönetim Yöneticisi
Credit Management Officer,Kredi Yönetim Görevlisi
Credit Manager,Kredi Müdürü
Credit Marketing Executive,Kredi Pazarlama Yöneticisi
Credit Officer,Kredi Görevlisi
Credit Operations Executive,Kredi Operasyonları Yöneticisi
Credit Processing Executive,Kredi İşleme Yöneticisi
Credit Recovery Officer,Kredi Kurtarma Görevlisi
Credit Risk Analyst,Kredi Riski Analisti
Credit Risk Executive,Kredi Riski Yöneticisi
Credit Risk Manager,Kredi Riski Yöneticisi
Credit Risk Specialist,Kredi Riski Uzmanı
Credit Services Officer,Kredi Hizmetleri Görevlisi
Credit Specialist,Kredi Uzmanı
Credit Support Officer,Kredi Destek Görevlisi
Credit Underwriter,Kredi Sigortacısı
Crew,Ekip Üyesi
Crew Coordinator,Ekip Koordinatörü
Crew Leader,Ekip Lideri
Crew Member,Ekip Üyesi
Crew Person,Ekip Üyesi
Crew Supervisor,Ekip Denetçisi
Crewing Manager,Kadro Yönetici
Crm Coordinator,CRM Koordinatörü
Crm Dynamics Software Developer,CRM Dynamics Yazılım Geliştiricisi
Crm Functional Analyst,CRM Fonksiyonel Analisti
Culinary,Mutfak Şefi
Curator,Küratör
Curtain Installer,Perde Montajcısı
Customer Administration Officer,Müşteri İdari Memuru
Customer Adviser,Müşteri Danışmanı
Customer Care Advisor_2,Müşteri İlişkileri Danışmanı
