Job Titles_En,Turkce_Meslek
Store Executive,Mağaza Yöneticisi
Store Hand,Mağaza Görevlisi
Store Helper,Mağaza Yardımcısı
Store Leader,Mağaza Lideri
Store Manager,Mağaza Müdürü
Store Owner,Mağaza Sahibi
Store Supervisor,Mağaza Denetçisi
Store Visual Merchandiser,Mağaza Görsel Pazarlama Uzmanı
Storekeeper,Depo Sorumlusu
Storeperson,Depo Görevlisi
Stores Officer,Depo Memuru
Stores Support Officer,Depo Destek Memuru
Strata Manager,Gayrimenkul Yönetim Müdürü
Strategic Account Manager,Stratejik Hesap Müdürü
Strategic Alliance Manager,Stratejik İttifak Müdürü
Strategic Alliances Manager,Stratejik İttifaklar Müdürü
Strategic Alliances Specialist,Stratejik İttifaklar Uzmanı
Strategic Analyst,Stratejik Analist
Strategic Growth Manager,Stratejik Büyüme Müdürü
Strategic Marketing Manager,Stratejik Pazarlama Müdürü
Strategic Planning Executive,Stratejik Planlama Yöneticisi
Strategic Planning Specialist,Stratejik Planlama Uzmanı
Strategic Projects Manager,Stratejik Projeler Müdürü
Strategic Sourcing Manager,Stratejik Tedarik Müdürü
Strategic Sourcing Specialist,Stratejik Tedarik Uzmanı
Strategist,Stratejist
Strategy Associate,Strateji Danışmanı
Strategy Consultant,Strateji Danışmanı
Strategy Executive,Strateji Yöneticisi
Strategy Lead,Strateji Lideri
Strategy Manager,Strateji Müdürü
Stress Engineer,Gerilme Mühendisi
Structural Civil Engineer,Yapı Mühendisi
Structural Design Engineer,Yapısal Tasarım Mühendisi
Structural Designer,Yapısal Tasarımcı
Structural Draftsperson_2,
Structural EIT,Yapısal Mühendislik Stajyer
Structural Engineer,Yapı Mühendisi
Structural Engineer in Training,Stajyer Yapı Mühendisi
Structural Manager,Yapı Müdürü
Structural Site Engineer,Şantiye Yapı Mühendisi
Structural Steel Detailer,Yapısal Çelik Detay Uzmanı
Structure Draftperson,Yapı Teknik Çizeri
Structures Inspector,Yapı Müfettişi
Student,Öğrenci
Student Affairs Executive,Öğrenci İşleri Yöneticisi
Student Affairs Specialist,Öğrenci İşleri Uzmanı
Student Aid,Öğrenci Yardımcısı
Student Aide,Öğrenci Yardımcısı
Student Ambassador,Öğrenci Elçisi
Student Assistant,Öğrenci Asistanı
Student Counsellor,Öğrenci Danışmanı
Student Fellow,
Student Recruitment Officer,Öğrenci Kayıt Memuru
Student Representative,Öğrenci Temsilcisi
Student Tutor,Öğrenci Özel Öğretmeni
