Job Titles_En,Turkce_Meslek
Channel Manager,Kanal Müdürü
Channel Marketing Manager,Kanal Pazarlama Müdürü
Channel Sale,
Channel Sales Executive,Kanal Satış Temsilcisi
Channel Sales Manager,Kanal Satış Müdürü
Charge Nurse,Hemşire Amiri
Chargeman,
Chauffeur,Şoför
Check Agent,Kontrol Görevlisi
Checker,Kontrolör
Chef,Aşçıbaşı
Chef De Partie,Kıdemli Aşçı
Chemical Engineer,Kimya Mühendisi
Chemist,Kimyager
Chemistry Teacher,Kimya Öğretmeni
Chief,Şef
Chief Brand Officer,Marka Müdürü
Chief Business Development Officer,İş Geliştirme Müdürü
Chief Business Officer,İşletme Müdürü
Chief Commercial Officer,Ticari İşler Müdürü
Chief Commercial Officer (CCO),Ticari İşler Müdürü
Chief Communications Officer,İletişim Müdürü
Chief Communications Officer (CCO),İletişim Müdürü
Chief Compliance Officer,Uyum ve Denetim Müdürü
Chief Cook,Baş Aşçı
Chief Corporate Officer,Kurumsal İşler Müdürü
Chief Creative Officer,Yaratıcı İşler Müdürü
Chief Creative Officer (CCO),Yaratıcı İşler Müdürü
Chief Data Officer,Veri Müdürü
Chief Design Officer,Tasarım Müdürü
Chief Development Officer,Geliştirme Müdürü
Chief Development Officer (CDO),Geliştirme Müdürü
Chief Digital Officer,Dijital İşler Müdürü
Chief Digital Officer (CDO),Dijital İşler Müdürü
Chief Economist,Baş Ekonomist
Chief Engineer,Baş Mühendis
Chief Ethics Officer,Etik Müdürü
Chief Executive,Yönetici
Chief Executive Officer,Genel Müdür
Chief Financial Officer,Mali İşler Müdürü
Chief Information Officer,Bilgi Teknolojileri Müdürü
Chief Information Security Officer,Bilgi Güvenliği Müdürü
Chief Knowledge Officer,Bilgi Yönetimi Müdürü
Chief Marketing Officer,Pazarlama Müdürü
Chief Master Sergeant,
Chief Mechanic,Baş Mekanik
Chief Medical Officer,Başhekim
Chief Officer,Kıdemli Memur
Chief Operating Officer,Operasyon Müdürü
Chief Operational Officer,Operasyon Müdürü
Chief Operations Officer,Operasyon Müdürü
Chief Pilot,Baş Pilot
Chief Product Officer,Ürün Müdürü
Chief Risk Officer,Risk Müdürü
Chief Sales Officer,Satış Müdürü
Chief Sales Officer (CSO),Satış Müdürü
Chief Scientific Officer,Bilimsel İşler Müdürü
Chief Security Officer,Güvenlik Müdürü
Chief Strategy Officer,Strateji Müdürü
Chief Strategy Officer (CSO),Strateji Müdürü
Chief Technical Officer,Teknik Müdür
Chief Technology Officer,Teknoloji Müdürü
Chief of Pediatric Urology,Pediatrik Üroloji Şefi
Child And Youth Worker,Çocuk ve Gençlik Çalışanı
Child Care Specialist,Çocuk Bakımı Uzmanı
Child Psychologist,Çocuk Psikoloğu
Childcare Teacher,Çocuk Bakıcısı/Çocuk Eğitmeni
Chinese Medicine Practitioner,Geleneksel Çin Tıbbı Uygulayıcısı
Chinese Tutor,Çince Özel Öğretmeni
Chiropractic Assistant,Kiropraktik Asistanı
Chiropractor,Kiropraktör
Cinema Manager,Sinema Müdürü
Cinema Supervisor,Sinema Süpervizörü
Cinematographer,Görüntü Yönetmeni
Citrix Engineer,Citrix Mühendisi
Citrix Systems Engineer,Citrix Sistem Mühendisi
City Council Member,Belediye Meclis Üyesi
City Employee,Belediye Çalışanı
Civil,
Civil Construction Manager,İnşaat Müdürü
Civil Design Engineer,İnşaat Tasarım Mühendisi
Civil Draftsperson,İnşaat Teknik Çizeri
Civil Engineer,İnşaat Mühendisi
Civil Engineering Professional,İnşaat Mühendisliği Uzmanı
Civil Manager,İnşaat Müdürü
Civil Project Engineer,İnşaat Proje Mühendisi
Civil Project Manager,İnşaat Proje Müdürü
Civil Quantity Surveyor,İnşaat Metraj Uzmanı
Civil Servant,Memur
Civil Site Engineer,Şantiye İnşaat Mühendisi
Civil Site Supervisor,Şantiye Süpervizörü
Civil Structural Engineer,İnşaat Yapı Mühendisi
Civil Superintendent,İnşaat Süperintendantı
Civil Supervisor,İnşaat Süpervizörü
Civil Technician,İnşaat Teknisyeni
Claims Adjuster,Hasar Tespit Uzmanı
Claims Administrator,Talep Yöneticisi
Claims Adviser,Talep Danışmanı
Claims Associate,Talep Değerlendiricisi
Claims Examiner,Talep İnceleyicisi
Claims Executive,Hasar Uzmanı
Claims Manager,Hasar Müdürü
Claims Officer,Hasar Görevlisi
Claims Representative,Hasar Temsilcisi
Claims Specialist,Hasar Uzmanı
Claims Team Leader,Hasar Ekibi Lideri
Class Teacher,Sınıf Öğretmeni
Classroom Assistant,Sınıf Yardımcısı
Classroom Teacher,Sınıf Öğretmeni
Cleaner,Temizlik Görevlisi
Cleaning Specialist,Temizlik Uzmanı
Clerical Assistant,Büro Yardımcısı
Clerical Office Worker,Büro Çalışanı
Clerical Officer,Büro Görevlisi
Clerical Worker,Büro Çalışanı
Clerk,Büro Memuru
Clerk Of Work,İş Bürosu Memuru
Clerk Typist,Büro Daktilografı
Client Account Specialist,Müşteri Hesap Uzmanı
Client Accountant,Müşteri Muhasebecisi
Client Acquisition Officer,Müşteri Kazanma Görevlisi
Client Advisor_2,Müşteri Danışmanı
Client Care Representative,Müşteri İlişkileri Temsilcisi
Client Coordinator,Müşteri Koordinatörü
Client Coverage Manager,Müşteri Kapsama Müdürü
Client Delivery Manager,Müşteri Teslimat Müdürü
Client Director,Müşteri Direktörü
Client Engagement Manager,Müşteri İletişim Müdürü
Client Engagement Officer,Müşteri İletişim Görevlisi
Client Engagement Specialist,Müşteri İletişim Uzmanı
Client Executive,Müşteri Yöneticisi
Client Experience Associate,Müşteri Deneyimi Danışmanı
Client Management Executive,Müşteri Yönetim Yöneticisi
Client Management Specialist,Müşteri Yönetim Uzmanı
Client Manager,Müşteri Yöneticisi
Client Onboarding Analyst,Müşteri Kayıt Analisti
Client Onboarding Specialist,Müşteri Kayıt Uzmanı
Client Relationship Associate,Müşteri İlişkileri Danışmanı
Client Relationship Executive,Müşteri İlişkileri Yöneticisi
Client Relationship Manager,Müşteri İlişkileri Müdürü
Client Relationship Specialist,Müşteri İlişkileri Uzmanı
Client Service,Müşteri Hizmetleri
Client Service Associate,Müşteri Hizmetleri Danışmanı
Client Services Administrator,Müşteri Hizmetleri Yöneticisi
Client Services Advisor,Müşteri Hizmetleri Danışmanı
Client Services Executive,Müşteri Hizmetleri Yöneticisi
Client Services Manager,Müşteri Hizmetleri Müdürü
Client Services Officer,Müşteri Hizmetleri Görevlisi
Client Services Representative,Müşteri Hizmetleri Temsilcisi
Client Services Specialist,Müşteri Hizmetleri Uzmanı
Client Solutions Director,Müşteri Çözümleri Direktörü
Client Specialist,Müşteri Uzmanı
Client Success Executive,Müşteri Başarı Yöneticisi
Clinic Assistant,Klinik Asistanı
Clinic Manager,Klinik Müdürü
Clinic Nurse,Klinik Hemşiresi
Clinic Receptionist,Klinik Resepsiyonisti
Clinic Registered Nurse,Klinik Kayıtlı Hemşire
Clinic Supervisor,Klinik Denetçisi
Clinical Applications Specialist,Klinik Uygulamalar Uzmanı
Clinical Assistant,Klinik Asistanı
Clinical Data Abstractor,Klinik Veri Soyutlayıcısı
Clinical Executive,Klinik Yöneticisi
Clinical Hypnotherapist,Klinik Hipnoterapist
Clinical Instructor,Klinik Eğitmeni
Clinical Nurse,Klinik Hemşiresi
Clinical Nurse Specialist,Klinik Hemşire Uzmanı
Clinical Pharmacist,Klinik Eczacı
Clinical Product Specialist,Klinik Ürün Uzmanı
Clinical Psychologist,Klinik Psikolog
Clinical Research Associate,Klinik Araştırma Görevlisi
Clinical Research Nurse,Klinik Araştırma Hemşiresi
Clinical Sales Specialist,Klinik Satış Uzmanı
Clinical Service Manager,Klinik Hizmetler Müdürü
Clinical Services Specialist,Klinik Hizmetler Uzmanı
Clinical Specialist,Klinik Uzman
Closed Circuit Television Technician,Kapalı Devre Televizyon Teknikeri
Cloud Administrator,Bulut Yönetici
Cloud Analyst,Bulut Analisti
Cloud Architect,Bulut Mimarı
Cloud Consultant,Bulut Danışmanı
Cloud Data Engineer,Bulut Veri Mühendisi
Cloud Developer,Bulut Geliştiricisi
Cloud Devops Engineer,Bulut Devops Mühendisi
Cloud Engineer,Bulut Mühendisi
Cloud Infrastructure Engineer,Bulut Altyapı Mühendisi
Cloud Operations Engineer,Bulut Operasyon Mühendisi
Cloud Security Architect,Bulut Güvenlik Mimarı
Cloud Security Engineer,Bulut Güvenlik Mühendisi
Cloud Services Engineer,Bulut Hizmetleri Mühendisi
Cloud Solution Architect,Bulut Çözüm Mimarı
Cloud Solutions Specialist,Bulut Çözümleri Uzmanı
Cloud Specialist,Bulut Uzmanı
Cloud Support Engineer,Bulut Destek Mühendisi
Cloud Systems Administration Officer,Bulut Sistem Yönetim Görevlisi
Cloud Systems Engineer,Bulut Sistem Mühendisi
Club Assistant,Kulüp Asistanı
Club Coordinator,Kulüp Koordinatörü
Club Waiter,Kulüp Garsonu
Club Waitress,Kulüp Garsonu
Cluster Director,Küme Direktörü
Cnc Lathe Programmer,CNC Torna Programcısı
Cnc Milling Machinist,CNC Frezeci
Co-Chief Executive Officer,Ortak Genel Müdür
Co-Founder,Eş Kurucu
Co-Owner,Ortak
Coach,Koç
Coaching Specialist,Koçluk Uzmanı
Coastal Engineer,Kıyı Mühendisi
Coatings Supervisor,Kaplama Şefi
Cocktail Bartender,Kokteyl Barmeni
Coffee Attendant,Kahve Görevlisi
Coffee Bar Attendant,Kahve Bar Görevlisi
Coffee Machine Technician,Kahve Makinesi Teknisyeni
Coffee Roaster,Kahve Kavrama Uzmanı
Coffee Shop Attendant,Kahvehaneci
Collaboration Engineer,İşbirliği Mühendisi
Collaboration Specialist,İşbirliği Uzmanı
Collection Agent,Tahsilat Acentesi
Collection And Recovery Executive,Tahsilat ve İyileştirme Yöneticisi
Collection Executive,Tahsilat Yöneticisi
Collections Analyst,Tahsilat Analisti
Collections Associate,Tahsilat Uzmanı
Collections Coordinator,Tahsilat Koordinatörü
Collections Manager,Tahsilat Müdürü
Collections Officer,Tahsilat Görevlisi
Collections Specialist,Tahsilat Uzmanı
Collections Supervisor,Tahsilat Şefi
Collections Team Leader,Tahsilat Ekip Lideri
Collector,Tahsildar
College Lecturer,Yüksekokul Öğretim Görevlisi
Colourist,Renk Uzmanı
Commerce Coordinator,Ticaret Koordinatörü
Commercial Account Manager,Ticari Hesap Müdürü
Commercial Administrator,Ticari Yönetici
Commercial Analyst,Ticari Analist
Commercial Assistant,Ticari Asistan
Commercial Consultant,Ticari Danışman
Commercial Engineer,Ticari Mühendis
Commercial Executive,Ticari Yönetici
Commercial Finance Analyst,Ticari Finans Analisti
Commercial Finance Business Partner,Ticari Finans İş Ortağı
Commercial Finance Manager,Ticari Finans Müdürü
Commercial Manager,Ticari Müdür
Commercial Officer,Ticari Görevli
Commercial Project Manager,Ticari Proje Yöneticisi
Commercial Sales Analyst,Ticari Satış Analisti
Commercial Sales Manager,Ticari Satış Müdürü
Commercial Specialist,Ticari Uzman
Commercial Underwriter,Ticari Sigortacı
Commis Chef,Komi Şef
Commis Cook,Komi Aşçı
Commission Sales Associate,Komisyonlu Satış Temsilcisi
Commissioning Engineer,Sistem Devreye Alma Mühendisi
Commissioning Manager,Sistem Devreye Alma Müdürü
Commodity Manager,Emtia Müdürü
Commodity Trader,Emtia Tüccarı
Communication Expert,İletişim Uzmanı
Communication Staff,İletişim Personeli
Communications Associate,İletişim Temsilcisi
Communications Engineer,İletişim Mühendisi
Communications Executive,İletişim Yöneticisi
Communications Manager,İletişim Müdürü
Communications Partner,İletişim Ortağı
Communications Professional,İletişim Profesyoneli
Communications Specialist,İletişim Uzmanı
Communicator,İletişimci
Community Associate,Toplum Temsilcisi
Community Development Officer,Toplum Geliştirme Görevlisi
Community Engagement Manager,Toplum Geliştirme Müdürü
Community Executive,Toplum Yöneticisi
Community Health Nurse,Halk Sağlığı Hemşiresi
Community Manager,Toplum Müdürü
Community Officer,Toplum Görevlisi
Community Organizer,Toplum Organizasyon Görevlisi
Community Outreach Coordinator,Toplum Uzantı Koordinatörü
Community Pharmacist,Eczane Eczacısı
Community Volunteer,Toplum Gönüllüsü
Compactor Driver,Sıkıştırıcı Operatörü
Company Accountant,Şirket Muhasebecisi
Company Director,Şirket Müdürü
Company Driver,Şirket Sürücüsü
Company Owner,Şirket Sahibi
Company Secretarial Assistant,Şirket Sekreterlik Asistanı
Company Secretarial Executive,Şirket Sekreterlik Yöneticisi
Company Secretarial Manager,Şirket Sekreterlik Müdürü
Company Secretary,Şirket Sekreteri
Company Secretary Assistant,Şirket Sekreteri Asistanı
Company Secretary Executive,Şirket Sekreteri Yöneticisi
Compensation Analyst,Ücret Analisti
Compensation And Benefits Analyst,Ücret ve Yan Haklar Analisti
Compensation And Benefits Executive,Ücret ve Yan Haklar Yöneticisi
Compensation And Benefits Lead,Ücret ve Yan Haklar Lideri
Compensation And Benefits Manager,Ücret ve Yan Haklar Müdürü
Compensation And Benefits Specialist,Ücret ve Yan Haklar Uzmanı
Compiler Developer,Derleyici Geliştiricisi
Compiler Engineer,Derleyici Mühendisi
Complaint Handling Executive,Şikayet İşleme Yöneticisi
Complex Manager,Kompleks Müdürü
Compliance Administrator,Uyum Yöneticisi
Compliance Adviser,Uyum Danışmanı
Compliance Analyst,Uyum Analisti
Compliance Assistant,Uyum Asistanı
Compliance Associate,Uyum Uzmanı
Compliance Auditor,Uyum Denetçisi
Compliance Engineer,Uyum Mühendisi
Compliance Executive,Uyum Yöneticisi
Compliance Manager,Uyum Müdürü
Compliance Officer,Uyum Görevlisi
Compliance Risk Officer,Uyum Risk Görevlisi
Compliance Specialist,Uyum Uzmanı
Compliance Supervisor,Uyum Denetçisi
Component Engineer,Parça Mühendisi
Computational Fluid Dynamics Engineer,Hesaplamalı Akışkanlar Dinamiği Mühendisi
Computer Graphic Artist,Bilgisayar Grafik Sanatçısı
Computer Graphic Designer,Bilgisayar Grafik Tasarımcısı
Computer Graphics Generalist,Bilgisayar Grafikleri Uzmanı
Computer Graphics Supervisor,Bilgisayar Grafikleri Sorumlusu
Computer Hardware Engineer,Bilgisayar Donanım Mühendisi
Computer Numerical Control Engineer,Bilgisayarlı Sayısal Kontrol Mühendisi
Computer Numerical Control Machinist,Bilgisayarlı Sayısal Kontrol Operatörü
Computer Numerical Control Programmer,Bilgisayarlı Sayısal Kontrol Programcısı
Computer Numerical Control Technician,Bilgisayarlı Sayısal Kontrol Teknisyeni
Computer Programmer,Bilgisayar Programcısı
Computer Science Teacher,Bilgisayar Bilimleri Öğretmeni
Computer Technician,Bilgisayar Teknisyeni
Computer Vision Engineer,Bilgisayarlı Görü Mühendisi
Concierge,Kapıcı/Konkorj
Concierge Supervisor,Kapıcı/Konkorj Sorumlusu
Conductor,Kondüktör
Conference Producer,Konferans Prodüktörü
Confidential Secretary,Gizli Sekreter
Configuration Analyst,Yapılandırma Analisti
Configuration Management Engineer,Yapılandırma Yönetim Mühendisi
Configuration Management Manager,Yapılandırma Yönetim Müdürü
Configuration Specialist,Yapılandırma Uzmanı
Conservation Manager,Koruma Müdürü
Conservation Officer,Koruma Görevlisi
Construction Coordinator,İnşaat Koordinatörü
Construction Engineer,İnşaat Mühendisi
Construction General Manager,İnşaat Genel Müdürü
Construction Labourer,İnşaat İşçisi
Construction Manager,İnşaat Müdürü
Construction Project Manager,İnşaat Proje Müdürü
Construction Site Engineer,Şantiye Mühendisi
Construction Site Manager,Şantiye Şefi
Construction Site Supervisor,Şantiye Denetçisi
Construction Superintendent,İnşaat Süpervizörü
Construction Supervisor,İnşaat Denetçisi
Construction Worker,İnşaat İşçisi
Constructor,İnşaat Müteahhiti
Consul General,Başkonsolos
Consultant,Danışman
Consultant   Healthcare,
Consultant Manager,Danışman Yöneticisi
Consultant Obstetrician,Kadın Hastalıkları ve Doğum Uzmanı Danışman
Consultant Team Leader,Danışman Ekip Lideri
Consulting CFO,Danışman Mali Müdür
Consulting Chief Financial Officer,Danışman Mali Müdür
Consulting Director,Danışman Direktör
