Job Titles_En,Turkce_Meslek
Transformation Analyst,Dönüşüm Analisti
Transformation Lead,Dönüşüm Lideri
Transformation Manager,Dönüşüm Yöneticisi
Transformation Specialist,Dönüşüm Uzmanı
Transit Mixer Driver,Hazır Beton Şoförü
Transition Manager,Geçiş Yöneticisi
Transition Project Manager,Geçiş Proje Yöneticisi
Transition Specialist,Geçiş Uzmanı
Translator,Çevirmen
Transmission Engineer,İletim Mühendisi
Transmission Line Engineer,İletim Hattı Mühendisi
Transport Administration Officer,Ulaştırma İdari Memuru
Transport Executive,Taşımacılık Yöneticisi
Transport Manager,Taşımacılık Müdürü
Transport Planner,Ulaşım Planlamacısı
Transport Specialist,Taşımacılık Uzmanı
Transportation Security Officer,Ulaştırma Güvenlik Görevlisi
Transportation Specialist,Ulaştırma Uzmanı
Trauma Intensive Care Nurse,Travma Yoğun Bakım Hemşiresi
Travel Adviser,Seyahat Danışmanı
Travel Agent,Seyahat Acentesi
Travel Consultant,Seyahat Danışmanı
Travel Guide,Tur Rehberi
Travel Nurse,Gezici Hemşire
Travel Sales Manager,Seyahat Satış Müdürü
Tray Line Worker,Tepsi Hat İşçisi
Treasurer,Veznedar
Treasury Accountant,Hazine Muhasebecisi
Treasury Agent,
Treasury Analyst,Hazine Analisti
Treasury Associate,Hazine Görevlisi
Treasury Executive,Hazine Yöneticisi
Treasury Manager,Hazine Müdürü
Treasury Officer,Hazine Memuru
Treasury Specialist,Hazine Uzmanı
Treasury Supervisor,Hazine Denetçisi
Treatment Supervisor,Tedavi Denetçisi
Triage Licensed Practical Nurse,Triyaj Uygulamalı Pratik Hemşiresi
Troubleshooter,Arıza Uzmanı
Truck Driver,Kamyon Şoförü
Truck Operator,Kamyon Operatörü
Truckdriver,Kamyon Şoförü
Trust Adviser,Güven Danışmanı
Trust Consultant,Güven Danışmanı
Trust Manager,Vakıf Müdürü
Trust Officer,Vakıf Memuru
Tuition Teacher,Özel Ders Öğretmeni
Turner,Torna Teknisyen
Tutor,Özel Ders Öğretmeni
Typesetter,Dizgici
Typist,Daktilograf
Typographer,Tipograf
Tyre Technician,Lastik Teknikeri
UAT Analyst,UAT Analisti
UAT Lead,UAT Lideri
UI Designer,Kullanıcı Arayüzü Tasarımcısı
UI Developer,Kullanıcı Arayüzü Geliştiricisi
UI Engineer,Kullanıcı Arayüzü Mühendisi
UX Analyst,Kullanıcı Deneyimi Analisti
UX Architect,Kullanıcı Deneyimi Mimarı
UX Consultant,Kullanıcı Deneyimi Danışmanı
UX Design Specialist,Kullanıcı Deneyimi Tasarım Uzmanı
UX Designer,Kullanıcı Deneyimi Tasarımcısı
UX Developer,Kullanıcı Deneyimi Geliştiricisi
UX Engineer,Kullanıcı Deneyimi Mühendisi
UX Lead,Kullanıcı Deneyimi Lideri
UX Manager,Kullanıcı Deneyimi Yöneticisi
UX Researcher,Kullanıcı Deneyimi Araştırmacısı
UX Specialist,Kullanıcı Deneyimi Uzmanı
Ultrasound Technician,Ultrason Teknikeri
Ultrasound Technologist,Ultrason Teknologu
Umpire,Hakem
Undergraduate,Lisans Öğrencisi
Undergraduate Research Assistant,Lisans Araştırma Asistanı
Undergraduate Research Fellow,
Undergraduate Researcher,Lisans Araştırmacısı
Undergraduate Student,Lisans Öğrencisi
Undergraduate Teaching Assistant,Lisans Öğretim Asistanı
Underwriter,Sigortacı
Underwriting Assistant,Sigorta Asistanı
Underwriting Associate,Sigorta Uzman Yardımcısı
Underwriting Executive,Sigorta Yöneticisi
Underwriting Manager,Sigorta Yöneticisi
Underwriting Specialist,Sigorta Uzmanı
Unemployed,İşsiz
Unified Communications Engineer,Birleştirilmiş İletişim Mühendisi
Unit Executive,Birim Yöneticisi
Unit Head,Birim Başkanı
Unit Manager,Birim Yöneticisi
Unit Secretary,Birim Sekreteri
Unit Trust Consultant,Yatırım Fonu Danışmanı
Unity Developer,Unity Geliştiricisi
University Lecturer,Üniversite Öğretim Görevlisi
University Student,Üniversite Öğrencisi
Unix Engineer,Unix Mühendisi
Unix System Administrator,Unix Sistem Yöneticisi
Upholsterer,Döşemeci
Urban Designer,Kentsel Tasarımcı
Urban Planner,Şehir Plancısı
Urban Planning Specialist,Şehir Planlama Uzmanı
Urgent Care Licensed Practical Nurse,Acil Bakım Lisanslı Pratik Hemşiresi
Urgent Care Nurse,Acil Bakım Hemşiresi
Urgent Care Nurse Practitioner,Acil Bakım Hemşire Uygulayıcısı
Urogynaecologist,Ürojinekolog
Urologic Surgeon,Üroloji Cerrahı
Urologist,Ürolog
Urology Nurse,Üroloji Hemşiresi
Urology Nurse Practitioner,Üroloji Hemşire Uygulayıcısı
Urology Resident,Üroloji Asistanı
Usability Specialist,Kullanılabilirlik Uzmanı
Used Car Sales Manager,İkinci El Araç Satış Müdürü
Used Car Salesperson,İkinci El Araç Satış Elemanı
User Acceptance Testing Analyst,Kullanıcı Kabul Testi Analisti
User Experience Architect,Kullanıcı Deneyimi Mimarı
User Experience Consultant,Kullanıcı Deneyimi Danışmanı
User Experience Design Specialist,Kullanıcı Deneyimi Tasarım Uzmanı
User Experience Designer,Kullanıcı Deneyimi Tasarımcısı
User Experience Manager,Kullanıcı Deneyimi Müdürü
User Experience Researcher,Kullanıcı Deneyimi Araştırmacısı
User Experience Specialist,Kullanıcı Deneyimi Uzmanı
User Experience Writer,Kullanıcı Deneyimi Yazarı
User Interface Architect,Kullanıcı Arayüzü Mimarı
User Interface Artist,Kullanıcı Arayüzü Sanatçısı
User Interface Consultant,Kullanıcı Arayüzü Danışmanı
User Interface Designer,Kullanıcı Arayüzü Tasarımcısı
User Interface Engineer,Kullanıcı Arayüzü Mühendisi
User Researcher,Kullanıcı Araştırmacısı
User Support Specialist,Kullanıcı Destek Uzmanı
Usher,Yer Gösterici
Utilities Analyst,Altyapı Analisti
Utilities Clerk,Altyapı Büro Görevlisi
Utilities Customer Service Representative,Altyapı Müşteri Hizmetleri Temsilcisi
Utilities Director,Altyapı Direktörü
Utilities Engineer,Altyapı Mühendisi
Utilities Locator,Altyapı Konum Belirleme Uzmanı
Utilities Manager,Altyapı Müdürü
Utilities Mechanic,Altyapı Makinesi
Utilities Operator,Altyapı Operatörü
Utilities Specialist,Altyapı Uzmanı
Utilities Supervisor,Altyapı Denetçisi
Utilities Technician,Altyapı Teknisyen
Utilities Worker,Altyapı İşçisi
Utility Aide,Yardımcı Altyapı Görevlisi
Utility Inspector,Altyapı Denetçisi
Utility Technician,Altyapı Teknisyen
Utilization Review Nurse,Kullanım İnceleme Hemşiresi
Ux  Ui Designer,
Ux Software Developer,Kullanıcı Deneyimi Yazılım Geliştiricisi
VAT Analyst,Katma Değer Vergisi Analisti
VAT Consultant,Katma Değer Vergisi Danışmanı
VFX Coordinator,VFX Koordinatörü
VMware Administrator,VMware Yöneticisi
VP,Genel Müdür Yardımcısı
VP of Engineering,Mühendislikten Sorumlu Genel Müdür Yardımcısı
VP of Ethics,Etikten Sorumlu Genel Müdür Yardımcısı
VP of Finance,Finansal İşler Genel Müdür Yardımcısı
