Job Titles_En,Turkce_Meslek
Auditor,Denetçi
Auditor Supervisor,Denetçi Amiri
Author,Yazar
Autocad Drafter,Autocad Çizer
Autocad Engineer,Autocad Mühendisi
Automated Logistical Specialist,Otomatik Lojistik Uzmanı
Automation Controls Engineer,Otomasyon Kontrol Mühendisi
Automation Designer,Otomasyon Tasarımcısı
Automation Developer,Otomasyon Geliştiricisi
Automation Engineer,Otomasyon Mühendisi
Automation Manager,Otomasyon Müdürü
Automation Project Manager,Otomasyon Proje Yöneticisi
Automation Specialist,Otomasyon Uzmanı
Automation Technician,Otomasyon Teknisyeni
Automation Test Lead,Otomasyon Test Lideri
Automation Tester,Otomasyon Test Uzmanı
Automotive Electrician,Otomotiv Elektrikçisi
Automotive Engineer,Otomotiv Mühendisi
Automotive Mechanic,Otomotiv Tamircisi
Automotive Sales,Otomotiv Satış Uzmanı
Automotive Sales Consultant,Otomotiv Satış Danışmanı
Automotive Sales Executive,Otomotiv Satış Yöneticisi
Automotive Sales Manager,Otomotiv Satış Müdürü
Automotive Service Advisor,Otomotiv Servis Danışmanı
Automotive Service Technician,Otomotiv Servis Teknisyeni
Automotive Technician,Otomotiv Teknisyeni
Automotive Trainer,Otomotiv Eğitmeni
Auxiliary Police Officer,Yardımcı Polis Memuru
Avionics Engineer,Uçak Elektronik Mühendisi
Avionics Technician,Uçak Elektronik Teknisyeni
Aws Cloud Engineer,Aws Bulut Mühendisi
Aws Developer,Aws Geliştiricisi
Aws Devops Engineer,Aws Devops Mühendisi
Azure Administrator,Azure Yöneticisi
Azure Architect,Azure Mimarı
Azure Consultant,Azure Danışmanı
Azure Developer,Azure Geliştiricisi
Azure Devops Engineer,Azure Devops Mühendisi
Azure Engineer,Azure Mühendisi
Azure Specialist,Azure Uzmanı
Azure Support Engineer,Azure Destek Mühendisi
B2B Sales Executive,B2B Satış Yöneticisi
B4 Chargeman,
BCABA,
BCBA,
BDC Agent,BDC Acentesi
BDC Director,BDC Direktörü
BDC Manager,BDC Müdürü
BDC Representative,BDC Temsilcisi
BDR,İş Geliştirme Temsilcisi
BIM Engineer,BIM Mühendisi
BMS Engineer,BMS Mühendisi
BMS Operator,BMS Operatörü
BPO Manager,BPO Müdürü
Back End Java Developer,Java Geliştiricisi (Arka Uç)
Back Office Employee,Back Office Çalışanı
Back Office Executive,Back Office Yöneticisi
Back Office Specialist,Back Office Uzmanı
Back Up Scan Coordinator,Yedek Tarama Koordinatörü
Backend Developer,Arka Uç Geliştiricisi
Backend Engineer,Arka Uç Mühendisi
Backhoe Operator,Ekskavatör Operatörü
Backup Administrator,Yedekleme Yöneticisi
Baker,Fırıncı
Bakery Assistant,Fırın Yardımcısı
Bancassurance Executive,Bancassurance Yöneticisi
Bancassurance Specialist,Bancassurance Uzmanı
Bank Accountant,Banka Muhasebecisi
Bank Employee,Banka Çalışanı
Bank Examiner,Banka Denetçisi
Bank Officer,Banka Memuru
Bank Reconciliation Officer,Banka Mutabakat Görevlisi
Bank Teller,Banka Gişesi Memuru
Banker,Bankacı
Banking,Bankacılık
Banking Associate,Bankacılık Temsilcisi
Banking Consultant,Bankacılık Danışmanı
Banking Customer Service Advisor,Bankacılık Müşteri Hizmetleri Danışmanı
Banking Customer Service Representative,Bankacılık Müşteri Hizmetleri Temsilcisi
Banking Project Manager,Bankacılık Proje Yöneticisi
Banking Relationship Manager,Bankacılık İlişki Yöneticisi
Banking Specialist,Bankacılık Uzmanı
Banquet Houseperson,Banket Hizmetlisi
Banquet Manager,Banket Müdürü
Banquet Server,Banket Servis Görevlisi
Banquet Set Up Attendant,Banket Kurulum Görevlisi
Banquet Supervisor,Banket Denetçisi
Bar Attendant,Bar Görevlisi
Bar Manager,Bar Müdürü
Bar Supervisor,Bar Denetçisi
Bar Waiter,Bar Garsonu
Bar Waitress,Bar Garsonu
Barista,Barista
Bartender,Barmen
Base Manager,Üs Yöneticisi
Batch Plant Operator,Hazır Beton Santrali Operatörü
Beautician,Güzellik Uzmanı
Beauty Adviser  ,
Beauty Advisor,Güzellik Danışmanı
Beauty Consultant,Güzellik Danışmanı
Beauty Doctor,Estetik Doktor
Beauty Sales Consultant,Güzellik Satış Danışmanı
Beauty Therapist,Güzellik Terapisti
Beauty Trainer,Güzellik Eğitmeni
Behavior Specialist,Davranış Uzmanı
Behavioral Health Technician,Davranışsal Sağlık Teknisyeni
Behavioral Psychologist,Davranışsal Psikolog
Behavioral Therapist,Davranış Terapisti
Bell Attendant,Kapıcı
Benefits Analyst,Yan Haklar Analisti
Benefits Consultant,Yan Haklar Danışmanı
Benefits Manager,Yan Haklar Müdürü
Benefits Specialist,Yan Haklar Uzmanı
Best Interest Assessor,
Beverage Executive,İçecek Yöneticisi
Beverage Manager,İçecek Müdürü
Bid Engineer,Teklif Mühendisi
Bid Manager,Teklif Müdürü
Bid Specialist,Teklif Uzmanı
Big Data Developer,Büyük Veri Geliştiricisi
Big Data Engineer,Büyük Veri Mühendisi
Biller,Faturacı
Billing Administrator,Fatura Yöneticisi
Billing Adviser,Fatura Danışmanı
Billing Analyst,Fatura Analisti
Billing Assistant,Fatura Asistanı
Billing Clerk,Fatura Memuru
Billing Coordinator,Fatura Koordinatörü
Billing Executive,Fatura Yöneticisi
Billing Manager,Fatura Müdürü
Billing Specialist,Fatura Uzmanı
Billing Supervisor,Fatura Süpervizörü
Billing Typist,Fatura Yazıcısı
Bim Coordinator,Bim Koordinatörü
Bim Executive,Bim Yöneticisi
Bim Manager,Bim Müdürü
Bim Modeller,Bim Modelleyicisi
Bim Operator,Bim Operatörü
Biologist,Biyolog
Biology And Chemistry Teacher,Biyoloji ve Kimya Öğretmeni
Biology Specialist,Biyoloji Uzmanı
Biology Teacher,Biyoloji Öğretmeni
Biomedical Engineer,Biyomedikal Mühendisi
Biomedical Equipment Technician,Biyomedikal Ekipman Teknisyeni
Biomedical Technician,Biyomedikal Teknisyeni
Biometric Technician,Biyometrik Teknisyen
Biotechnologist,Biyoteknoloğu
Biscuit Maker,Bisküvi Üreticisi
Bistro Team Member,Bistro Ekip Üyesi
BizOps Manager,İş Operasyonları Müdürü
Biztalk Developer,BizTalk Geliştiricisi
Black Belt,Black Belt
Blackjack Dealer,Blackjack Krupiyeri
Blacksmith,Demirci
Blaster,Patlatma İşçisi
Blockchain Software Developer,Blockchain Yazılım Geliştiricisi
Blog Contributor,Blog Katkıda Bulunan
Blogger,Blog Yazarı
Blood Bank Laboratory Technician,Kan Bankası Laboratuvar Teknisyeni
Blood Bank Laboratory Technologist,Kan Bankası Laboratuvar Teknoloğu
Blood Bank Technologist,Kan Bankası Teknoloğu
Bo Chargeman,
Board,Yönetim Kurulu
Board Certified Associate Behavior Analyst,Sertifikalı Davranış Analisti Yardımcısı
Board Certified Behavior Analyst,Sertifikalı Davranış Analisti
Board Member,Yönetim Kurulu Üyesi
Board Observer,Yönetim Kurulu Gözlemcisi
Bodyguard,Vücut Koruyucusu
Boiler Operator,Kazan Operatörü
Boiler Technician,Kazan Teknisyeni
Boilermaker,Kazan İmalatçısı
Booking,Rezervasyoncu
Booking Administrator,Rezervasyon Yöneticisi
Booking Manager,Rezervasyon Müdürü
Bookkeeper,Muhasebeci
Bookkeeping,Muhasebe
Bookkeeping Assistant,Muhasebe Asistanı
Boss,Patron
Boutique Assistant,Butik Asistanı
Boutique Manager,Butik Müdürü
Boutique Supervisor,Butik Süpervizörü
Braille Transcriber,Braille Yazıcısı
Braille Typist,Braille Daktilo Operatörü
Branch Administrator,Şube Yöneticisi
Branch Assistant,Şube Asistanı
Branch Coordinator,Şube Koordinatörü
Branch Head,Şube Müdürü
Branch Incharge,Şube Sorumlusu
Branch Manager,Şube Müdürü
Branch Operations Executive,Şube Operasyon Yöneticisi
Branch Operations Manager,Şube Operasyon Müdürü
Branch Operations Officer,Şube Operasyon Görevlisi
Branch Supervisor,Şube Süpervizörü
Brand Activation Manager,Marka Aktivasyon Müdürü
Brand Activation Specialist,Marka Aktivasyon Uzmanı
Brand Ambassador,Marka Elçisi
Brand Executive,Marka Yöneticisi
Brand Experience Manager,Marka Deneyimi Müdürü
Brand Manager,Marka Müdürü
Brand Manager Fmcg_2,Hızlı Tüketim Ürünleri Marka Müdürü
Brand Marketing Manager,Marka Pazarlama Müdürü
Brand Officer,Marka Sorumlusu
Brand Promoter,Marka Tanıtım Elemanı
Brand Representative,Marka Temsilcisi
Brand Specialist,Marka Uzmanı
Branding Assistant,Markalama Asistanı
Branding Manager,Markalama Müdürü
Bricklayer,Duvarcı
Broadcast Director,Yayın Direktörü
Broadcaster,Yayıncı
Broker,Komisyoncu
Broking Executive,Komisyonculuk Yöneticisi
Bsc,
Budget Accountant,Bütçe Muhasebecisi
Buffet Waiter,Büfe Garsonu
Buffet Waitress,Büfe Garsonu
Build Engineer,Yapı Mühendisi
Builder,İnşaatçı
Building Consultant,Yapı Danışmanı
Building Engineer,Bina Mühendisi
Building Executive,Bina Yöneticisi
Building Information Modelling Engineer,Yapı Bilgi Modelleme Mühendisi
Building Information Modelling Specialist,Yapı Bilgi Modelleme Uzmanı
Building Maintenance Officer,Bina Bakım Görevlisi
Building Maintenance Supervisor,Bina Bakım Şefi
Building Maintenance Technician,Bina Bakım Teknisyeni
Building Management System Engineer,Bina Yönetim Sistemi Mühendisi
Building Management System Operator,Bina Yönetim Sistemi Operatörü
Building Management Systems Engineer,Bina Yönetim Sistemleri Mühendisi
Building Manager,Bina Müdürü
Building Project Manager,İnşaat Proje Müdürü
Building Services Manager,Bina Hizmetleri Müdürü
Building Supervisor,Bina Denetçisi
Building Technician,Bina Teknisyeni
Burger Flipper,Hamburgercide Grill Görevlisi
Bursar,Muhasebeci (Özellikle eğitim kurumlarında)
Bus Driver,Otobüs Şoförü
Business Accountant,İşletme Muhasebecisi
Business Administration Executive,İşletme Yönetimi Yöneticisi
Business Administration Support Officer,İşletme Yönetimi Destek Görevlisi
Business Administrator,İşletme Yöneticisi
Business Adviser,İş Danışmanı
Business Affairs Specialist,İş Konuları Uzmanı
Business Analysis Executive,İş Analizi Yöneticisi
Business Analysis Specialist,İş Analizi Uzmanı
Business Analyst,İş Analisti
Business Analyst   Risk,
Business Analyst Manager,İş Analisti Müdürü
Business And Economics Teacher,İşletme ve Ekonomi Öğretmeni
Business And System Support Associate,İş ve Sistem Destek Uzmanı
Business Applications Analyst,İş Uygulamaları Analisti
Business Architect,İş Mimarı
Business Assistant,İş Asistanı
Business Associate,İş Geliştirme Temsilcisi
Business Consultant,İş Danışmanı
Business Controller,Finansal Kontrolör
Business Coordinator,İş Koordinatörü
Business Data Analyst,İş Veri Analisti
Business Develop Manager,
Business Developer,İş Geliştirme Uzmanı
Business Development,İş Geliştirme
Business Development  Account Manager,
Business Development Assistant,İş Geliştirme Asistanı
Business Development Associate,İş Geliştirme Temsilcisi
Business Development Center Director,İş Geliştirme Merkezi Direktörü
Business Development Center Manager,İş Geliştirme Merkezi Yöneticisi
Business Development Center Representative,İş Geliştirme Merkezi Temsilcisi
Business Development Consultant,İş Geliştirme Danışmanı
Business Development Director,İş Geliştirme Direktörü
Business Development Engineer,
Business Development Executive,İş Geliştirme Yöneticisi
Business Development General Manager,İş Geliştirme Genel Müdürü
Business Development Manager,İş Geliştirme Yöneticisi
Business Development Officer,İş Geliştirme Görevlisi
Business Development Representative,İş Geliştirme Temsilcisi
Business Development Sales Executive,İş Geliştirme Satış Yöneticisi
Business Development Specialist,İş Geliştirme Uzmanı
Business Executive,İşletme Yöneticisi
Business Finance Manager,İşletme Finansmanı Yöneticisi
Business Financial Analyst,İşletme Finansal Analisti
Business Head,İşletme Şefi
Business Improvement Manager,İş Süreçleri İyileştirme Yöneticisi
Business Improvement Specialist,İş Süreçleri İyileştirme Uzmanı
Business Intelligence Analyst,İş Zekası Analisti
Business Intelligence Consultant,İş Zekası Danışmanı
Business Intelligence Developer,İş Zekası Geliştiricisi
Business Intelligence Lead,İş Zekası Lideri
