Job Titles_En,Turkce_Meslek
Nursing,Hemşirelik
Nursing Assistant,Hemşire Yardımcısı
Nursing Manager,Hemşirelik Hizmetleri Müdürü
Nursing Specialist,Hemşirelik Uzmanı
Nursing Staff,Hemşirelik Personeli
Nutrition Specialist,Beslenme Uzmanı
Nutritionist,Beslenme Uzmanı
OHS Manager,İş Sağlığı ve Güvenliği Müdürü
OSHA Inspector,OSHA Müfettişi
OSS Engineer,OSS Mühendisi
Obesity Educator,Obezite Eğitmeni
Oboist,Obua Çalgıcısı
Observer,Gözlemci
Obstetrician,Jinekolog ve Doğum Uzmanı
Obstetrics Nurse,Doğum Hemşiresi
Obstetrics and Gynecology Nurse,Kadın Doğum Hemşiresi
Obstetrics and Gynecology Resident,Kadın Hastalıkları ve Doğum Asistanı
Occupational Health Nurse Practitioner,İş Sağlığı Hemşiresi
Occupational Health Nurse,İş Sağlığı Hemşiresi
Occupational Health Safety Manager,İş Sağlığı ve Güvenliği Müdürü
Occupational Health and Safety Consultant,İş Sağlığı ve Güvenliği Danışmanı
Occupational Health and Safety Coordinator,İş Sağlığı ve Güvenliği Koordinatörü
Occupational Health and Safety Manager,İş Sağlığı ve Güvenliği Müdürü
Occupational Health and Safety Officer,İş Sağlığı ve Güvenliği Görevlisi
Occupational Health and Safety Specialist,İş Sağlığı ve Güvenliği Uzmanı
"Occupational Health, Safety, and Environment Manager","İş Sağlığı, Güvenliği ve Çevre Müdürü"
Occupational Hygienist,İş Hijyenisti
Occupational Safety Health Specialist,İş Sağlığı ve Güvenliği Uzmanı
Occupational Therapist,Mesleki Terapist
Occupational Therapy Assistant,Mesleki Terapi Yardımcısı
Occupational Therapy Student,Mesleki Terapi Öğrencisi
Odoo Developer,Odoo Geliştiricisi
Office Accountant,Büro Muhasebecisi
Office Administration,Büro Yönetimi
Office Administration And Customer Service Officer,Büro Yönetimi ve Müşteri Hizmetleri Görevlisi
Office Administrator,Büro Yöneticisi
Office Aide,Büro Yardımcısı
Office Assistant,Büro Asistanı
Office Associate,Büro Görevlisi
Office Boy,Ofis Çırağı
Office Cleaner,Büro Temizlik Görevlisi
Office Clerk,Büro Memuru
Office Coordinator,Büro Koordinatörü
Office Employee,Büro Çalışanı
Office Executive,Büro Yöneticisi
Office Helper,Büro Yardımcısı
Office Incharge,Büro Sorumlusu
Office Leasing Executive,Ofis Kiralama Yöneticisi
Office Management,Büro Yönetimi
Office Manager,Büro Müdürü
Office Operations Manager,Ofis Operasyon Yöneticisi
Office Person,Ofis Çalışanı
Office Receptionist,Resepsiyon Görevlisi
Office Secretary,Ofis Sekreteri
Office Services Assistant,Ofis Hizmetleri Asistanı
Office Solutions Specialist,Ofis Çözümleri Uzmanı
Office Supervisor,Ofis Şefi
Office Support Assistant,Ofis Destek Asistanı
Office Worker,Ofis Çalışanı
Officer,Memur
Oil Country Tubular Goods Inspector,Petrol Ülkesi Boru Malzemeleri Müfettişi
Oil Field Operator,Petrol Sahası Operatörü
Oil Refinery Inspector,Petrol Rafinerisi Müfettişi
Oil Trader,Petrol Tüccarı
Oil and Gas Consultant,Petrol ve Doğalgaz Danışmanı
Oil and Gas Production Inspector,Petrol ve Doğalgaz Üretim Müfettişi
Oil and Gas Specialist,Petrol ve Doğalgaz Uzmanı
Oiler,Yağcı
Ombudsperson,Ombudsman
On Air,
On Air Personality,
On Air Talent,
On Leave,İzniçi
On Site Coordinator,Şantiye Koordinatörü
Onboarding Consultant,İşe Alıştırma Danışmanı
Onboarding Officer,İşe Alıştırma Görevlisi
Onboarding Specialist,İşe Alıştırma Uzmanı
Oncology Nurse,Onkoloji Hemşiresi
Oncology Nurse Practitioner,Onkoloji Hemşire Praticien
Oncology Specialist,Onkoloji Uzmanı
Online Customer Service Representative,Çevrimiçi Müşteri Hizmetleri Temsilcisi
Online English Teacher,Çevrimiçi İngilizce Öğretmeni
Online Fulfilment Manager,Çevrimiçi Sipariş Yöneticisi
Online Manager,Çevrimiçi Yönetici
Online Marketing Executive,Çevrimiçi Pazarlama Yöneticisi
Online Marketing Manager,Çevrimiçi Pazarlama Yöneticisi
Online Marketing Specialist,Çevrimiçi Pazarlama Uzmanı
Online Sales Assistant,Çevrimiçi Satış Asistanı
Online Sales Executive,Çevrimiçi Satış Yöneticisi
Online Sales Specialist,Çevrimiçi Satış Uzmanı
Online Specialist,Çevrimiçi Uzman
Online Support Specialist,Çevrimiçi Destek Uzmanı
Online Tutor,Çevrimiçi Eğitmen
Onsite Manager,Şantiye Yöneticisi
Onsite Medical Representative,Saha Tıbbi Temsilcisi
Onsite Technician,Saha Teknisyeni
Operating Room Staff Nurse,Ameliyathane Hemşiresi
Operation And Maintenance Engineer,Operasyon ve Bakım Mühendisi
Operation Officer,Operasyon Görevlisi
Operation Specialist,Operasyon Uzmanı
Operation Supervisor,Operasyon Süpervizörü
Operational Buyer,Operasyonel Satın Alma Uzmanı
Operational Director,Operasyon Direktörü
Operational Driver,Operasyon Şoförü
Operational Excellence Consultant,Operasyonel Mükemmellik Danışmanı
