Job Titles_En,Turkce_Meslek
3D Animator,3D Animasyoncu
3D Artist,3D Sanatçısı
3D Designer,3D Tasarımcı
3D Draughtsperson,3D Teknik Çizer
3D Modeller,3D Modelleyici
3D Visualiser,3D Görselleştirici
A Grade Electrician,A Sınıfı Elektrikçi
A4 Chargeman,A4 Kayıt Sorumlusu
AWS Administrator,AWS Yöneticisi
AWS Architect,AWS Mimarı
AWS Consultant,AWS Danışmanı
AWS Developer,AWS Geliştiricisi
AWS Engineer,AWS Mühendisi
Abbess,Başrahibe
Abbott,Başrahip
Abrasive Blasting Technician,Aşındırıcı Püskürtme Teknisyeni
Abstractor,Özetleyici
Academic,Akademisyen
Academic Administrator,Akademik Yönetici
Academic Tutor,Akademik Danışman
Academician,Akademisyen
Access Control Officer,Erişim Kontrol Görevlisi
Access Control Specialist,Erişim Kontrol Uzmanı
Account Administration Assistant,Hesap Yönetimi Asistanı
Account Administration Officer,Hesap Yönetimi Görevlisi
Account Assistant,Hesap Asistanı
Account Consultant,Hesap Danışmanı
Account Coordinator,Hesap Koordinatörü
Account Department Specialist,Hesap Departmanı Uzmanı
Account Development Executive,Hesap Geliştirme Yöneticisi
Account Development Manager,Hesap Geliştirme Müdürü
Account Director,Hesap Direktörü
Account Executive,Hesap Yöneticisi
Account Management,Hesap Yönetimi
Account Management Executive,Hesap Yönetimi Yöneticisi
Account Manager,Hesap Müdürü
Account Manager Fmcg_2,Hızlı Tüketim Ürünleri Hesap Müdürü
Account Manager Key Account,Ana Hesap Müdürü
Account Manager National Account,Ulusal Hesap Müdürü
Account Officer,Hesap Görevlisi
Account Relationship Manager,Hesap İlişki Yöneticisi
Account Representative,Hesap Temsilcisi
Account Service Executive,Hesap Hizmetleri Yöneticisi
Account Service Manager,Hesap Hizmetleri Müdürü
Account Servicing Executive,Hesap Hizmetleri Yöneticisi
Account Specialist,Hesap Uzmanı
Accountant,Muhasebeci
Accountant Manager,Muhasebe Müdürü
Accountant Officer,Muhasebe Görevlisi
Accounting,Muhasebe
Accounting Administrator,Muhasebe Yöneticisi
Accounting Advisor,Muhasebe Danışmanı
Accounting Analyst,Muhasebe Analisti
Accounting And Finance Manager,Muhasebe ve Finans Müdürü
Accounting And Finance Officer,Muhasebe ve Finans Görevlisi
Accounting Assistant,Muhasebe Asistanı
Accounting Associate,Muhasebe Uzmanı
Accounting Bookkeeper,Muhasebe Deftercisi
Accounting Clerk,Muhasebe Memuru
Accounting Consultant,Muhasebe Danışmanı
Accounting Coordinator,Muhasebe Koordinatörü
Accounting Executive,Muhasebe Yöneticisi
Accounting Manager,Muhasebe Müdürü
Accounting Officer,Muhasebe Görevlisi
Accounting Specialist,Muhasebe Uzmanı
Accounting Supervisor,Muhasebe Denetçisi
Accounting Support,Muhasebe Destek Personeli
Accounting Tutor,Muhasebe Öğretmeni
Accounts Administration Officer,Muhasebe İdari Görevlisi
Accounts Administrator,Muhasebe Yöneticisi
Accounts Analyst,Muhasebe Analisti
Accounts And Admin Assistant,Muhasebe ve İdari Asistan
Accounts And Administration Clerk,Muhasebe ve İdari Memur
Accounts And Administration Coordinator,Muhasebe ve İdari Koordinatör
Accounts And Administration Executive,Muhasebe ve İdari Yöneticisi
Accounts And Administration Manager,Muhasebe ve İdari Müdür
Accounts And Administration Officer_2,Muhasebe ve İdari Görevlisi
Accounts And Tax Executive,Muhasebe ve Vergi Yöneticisi
Accounts Assistant,Muhasebe Asistanı
Accounts Associate,Muhasebe Uzmanı
Accounts Clerk,Muhasebe Memuru
Accounts Executive,Muhasebe Yöneticisi
Accounts Payable,Borç Muhasebesi
Accounts Payable Receivable Officer,Borç ve Alacak Görevlisi
Accounts Payable Accountant,Borç Muhasebecisi
Accounts Payable Analyst,Borç Muhasebesi Analisti
Accounts Payable Assistant,Borç Muhasebesi Asistanı
Accounts Payable Associate,Borç Muhasebesi Uzmanı
Accounts Payable Executive,Borç Muhasebesi Yöneticisi
Accounts Payable Manager,Borç Muhasebesi Müdürü
Accounts Payable Officer,Borç Muhasebesi Görevlisi
Accounts Payable Specialist,Borç Muhasebesi Uzmanı
Accounts Payable Team Leader,Borç Muhasebesi Ekip Lideri
Accounts Receivable,Alacak Muhasebesi
Accounts Receivable Accountant,Alacak Muhasebecisi
Accounts Receivable Analyst,Alacak Muhasebesi Analisti
Accounts Receivable Assistant,Alacak Muhasebesi Asistanı
Accounts Receivable Clerk,Alacak Muhasebesi Memuru
Accounts Receivable Credit Officer,Alacak Muhasebesi Kredi Görevlisi
Accounts Receivable Executive,Alacak Muhasebesi Yöneticisi
Accounts Receivable Manager,Alacak Yönetici
Accounts Receivable Officer,Alacak Memuru
Accounts Receivable Specialist,Alacak Uzmanı
Accounts Receivable Supervisor,Alacak Şefi
Accounts Receivable Team Leader,Alacak Takım Lideri
Accounts Role,Muhasebe Görevlisi
Accounts Specialist,Muhasebe Uzmanı
Accounts Supervisor,Muhasebe Şefi
Accreditation Manager,Akreditasyon Yöneticisi
Acquisition Analyst,Satın Alma Analisti
Acquisition Specialist,Satın Alma Uzmanı
Acting CFO,Geçici Mali İşler Müdürü
Acting Chief Financial Officer,Geçici Mali İşler Müdürü
Activation Executive,Aktivasyon Yöneticisi
Activation Manager,Aktivasyon Yöneticisi
Activation Specialist,Aktivasyon Uzmanı
Active Duty,Aktif Görevli
Activities Coordinator,Aktiviteler Koordinatörü
Actor,Aktör
Actuarial Analyst,Aktüeryal Analist
Actuarial Executive,Aktüeryal Yönetici
Actuarial Manager,Aktüeryal Yönetici
Actuarial Valuation Executive,Aktüeryal Değerleme Yöneticisi
Actuary,Aktüer
Acute Care Licensed Practical Nurse,Akut Bakım Lisanslı Uygulamalı Hemşire
Acute Care Nurse Practitioner,Akut Bakım Hemşire Uygulayıcısı
Adjudicator,Hakem
Adjunct,Ekstra Öğretim Görevlisi
Adjunct Faculty,Ekstra Öğretim Üyesi
Administration,İdare
Administration Analyst,İdari Analist
Administration Assistant,İdari Asistan
Administration Associate,İdari Memur
Administration Clerk,İdari Kâtip
Administration Coordinator,İdari Koordinatör
Administration Manager,İdari Yönetici
Administration Officer,İdari Memur
Administration Specialist,İdari Uzman
Administration Supervisor,İdari Şef
Administration Support Officer,İdari Destek Memuru
Administration Team Leader,İdari Takım Lideri
Administrative,İdari
Administrative Aide,İdari Yardımcı
Administrative Assistant,İdari Asistan
Administrative Associate,İdari Memur
Administrative Clerk,İdari Kâtip
Administrative Executive,İdari Yönetici
Administrative Office Specialist,İdari Ofis Uzmanı
Administrative Personal Assistant,İdari Kişisel Asistan
Administrative Secretary,İdari Sekreter
Administrative Specialist,İdari Uzman
Administrative Staff,İdari Personel
Administrator,Yönetici
Admissions And Records Executive,Kabul ve Kayıt Sorumlusu
Admissions Executive,Kabul Sorumlusu
Admissions Manager,Kabul Müdürü
Admissions Officer,Kabul Görevlisi
Admissions Specialist,Kabul Uzmanı
Adobe Experience Manager,Adobe Deneyim Yöneticisi
Adobe Experience Manager Developer,Adobe Deneyim Yöneticisi Geliştiricisi
Adult Nurse Practitioner,Yetişkin Hemşire Uygulayıcısı
Advanced Business Application Developer,Gelişmiş İş Uygulamaları Geliştiricisi
Advanced Business Application Programming Consultant,Gelişmiş İş Uygulamaları Programlama Danışmanı
Advanced Quality Engineer,Gelişmiş Kalite Mühendisi
Adventure Guide,Macera Rehberi
Advertising Account Executive,Reklam Hesap Yöneticisi
Advertising Account Manager,Reklam Hesap Müdürü
Advertising And Promotion Executive,Reklam ve Tanıtım Sorumlusu
Advertising Manager,Reklam Müdürü
Adviser,Danışman
Advisor,Danışman
Advisory Associate,Danışmanlık Uzman Yardımcısı
Advisory Director,Danışmanlık Direktörü
Advisory Manager,Danışmanlık Müdürü
Aerobic Instructor,Aerobik Eğitmeni
Aerobics Instructor,Aerobik Eğitmeni
Aerodynamicist,Aerodinamik Uzmanı
Aerodynamics Engineer,Aerodinamik Mühendisi
Aeronautical Engineer,Havacılık Mühendisi
