Job Titles_En,Turkce_Meslek
Reactjs Engineer,Reactjs Geliştiricisi
Reading Tutor,Okuma Koçu
Real Estate Advisor,Gayrimenkul Danışmanı
Real Estate Agent,Emlakçı
Real Estate Broker,Emlak Komisyoncusu
Real Estate Consultant,Gayrimenkul Danışmanı
Real Estate Executive,Gayrimenkul Yöneticisi
Real Estate Investor,Gayrimenkul Yatırımcısı
Real Estate Manager,Gayrimenkul Müdürü
Real Estate Negotiator,Gayrimenkul Aracısı
Real Estate Representative,Gayrimenkul Temsilcisi
Real Estate Sales,Emlak Satış Uzmanı
Real Estate Sales Manager,Emlak Satış Müdürü
Real Estate Salesperson,Emlak Satış Elemanı
Real Estate Specialist,Gayrimenkul Uzmanı
Real Time Analyst,Gerçek Zamanlı Analist
Receiver,Alıcı
Receiving Clerk,Malzeme Kabul Memuru
Receiving Officer,Mal Kabul Görevlisi
Reception,Resepsiyon
Reception Manager,Resepsiyon Müdürü
Receptionist,Resepsiyonist
Reconciliation Manager,Mutabakat Müdürü
Reconciliation Specialist,Mutabakat Uzmanı
Record To Report Analyst,Kayıt Raporlama Analisti
Recorder,Kayıt Görevlisi
Records Assistant,Kayıt Asistanı
Records Officer,Kayıt Görevlisi
Records Specialist,Kayıt Uzmanı
Recoveries Specialist,Tahsilat Uzmanı
Recovery Associate,Tahsilat Uzmanı
Recovery Executive,Tahsilat Yöneticisi
Recovery Manager,Tahsilat Müdürü
Recovery Officer,Tahsilat Görevlisi
Recreation Assistant,Rekreasyon Asistanı
Recreation Manager,Rekreasyon Müdürü
Recreation Vehicle Service Technician,Rekreasyon Araç Servis Teknisyeni
Recruiter,İdari İşler Uzmanı
Recruitment,İdari İşler
Recruitment  Hr,
Recruitment Ambassador,İdari İşler Elçisi
Recruitment Assistant,İdari İşler Asistanı
Recruitment Associate,İdari İşler Uzmanı
Recruitment Consultant,İdari İşler Danışmanı
Recruitment Coordinator,İdari İşler Koordinatörü
Recruitment Executive,İdari İşler Yöneticisi
Recruitment Lead,İdari İşler Lideri
Recruitment Manager,İdari İşler Müdürü
Recruitment Officer,İdari İşler Görevlisi
Recruitment Specialist,İdari İşler Uzmanı
Referral Marketing Salesperson,Referans Pazarlama Satış Temsilcisi
Refrigeration Technician,Soğutma Teknisyeni
Regional Account Manager,Bölgesel Hesap Müdürü
Regional Area Manager,Bölgesel Alan Müdürü
Regional CFO,Bölgesel Mali İşler Müdürü
Regional Chief Financial Officer,Bölgesel Mali İşler Müdürü
Regional Collections Manager,Bölgesel Tahsilat Müdürü
Regional Controller,Bölgesel Finansal Kontrol Müdürü
Regional Director,Bölge Direktörü
Regional General Manager,Bölge Genel Müdürü
Regional Manager,Bölge Müdürü
Regional Marketing Manager,Bölgesel Pazarlama Müdürü
Regional Operations Manager,Bölgesel Operasyon Müdürü
Regional Project Manager,Bölgesel Proje Müdürü
Regional Sales Executive,Bölgesel Satış Yöneticisi
Regional Sales Manager,Bölgesel Satış Müdürü
Regional Sales Representative,Bölgesel Satış Temsilcisi
Registered Dental Hygienist,Kayıtlı Diş Hijyenisti
Registered Early Childhood Educator,
Registered Massage Therapist,
Registered Nurse,Hemşire
Registered Pharmacist,Eczacı
Registered Pharmacy Technician,
Registered Polysomnographic Technologist,
Registered Professional Land Surveyor,
Registered Respiratory Therapist,Kayıtlı Solunum Terapisti
Registration Officer,
Regulatory Affairs Assistant,
Regulatory Affairs Associate,
Regulatory Affairs Executive,
Regulatory Affairs Manager,
Regulatory Affairs Officer,
Regulatory Affairs Specialist,
Regulatory Affairs Supervisor,
Regulatory Compliance Executive,
Regulatory Compliance Manager,
Regulatory Executive,
Regulatory Manager,
Regulatory Reporting Manager,
Regulatory Specialist,
Rehabilitation Manager,
Reinsurance Executive,
Relations Specialist,
Relationship Development Manager,
Relationship Executive,
Relationship Management Officer,
Relationship Manager,
Relationship Manager   Corporate Banking,
Relationship Officer,
Release Engineer,
Release Manager,Sürüm Yöneticisi
Release Train Engineer,Sürüm Tren Mühendisi
Reliability Engineer,Güvenilirlik Mühendisi
Reliability Manager,Güvenilirlik Yöneticisi
Reliability Technician,Güvenilirlik Teknisyeni
Relief Teacher,Geçici Öğretmen
Remote Support Engineer,Uzaktan Destek Mühendisi
Renewals Specialist,Yenileme Uzmanı
Rental Assistant,Kira Asistanı
Repair Engineer,Onarım Mühendisi
Repair Person,Onarım Görevlisi
