Job Titles_En,Turkce_Meslek
Intellectual Property Specialist,Fikri Mülkiyet Uzmanı
Intelligence Analyst,İstihbarat Analisti
Intensive Care Clinical Nurse Specialist,Yoğun Bakım Klinik Hemşire Uzmanı
Intensive Care Nurse,Yoğun Bakım Hemşiresi
Intensive Care Unit Nurse,Yoğun Bakım Ünitesi Hemşiresi
Interactive Developer,Etkileşimli Geliştirici
Intercompany Accountant,Şirketler Arası Muhasebeci
Interface Engineer,Arayüz Mühendisi
Interim CFO,Geçici Mali İşler Müdürü
Interim CTO,Geçici Teknoloji Müdürü
Interim Chief Financial Officer,Geçici Mali İşler Müdürü
Interim Chief Technology Officer,Geçici Teknoloji Müdürü
Interior Architect,İç Mimari
Interior Consultant,İç Mekan Danışmanı
Interior Design,İç Tasarım
Interior Design Assistant,İç Tasarım Asistanı
Interior Design Consultant,İç Tasarım Danışmanı
Interior Designer,İç Mimari
Interiors Manager,İç Mekanlar Müdürü
Intern,Stajyer
Internal Audit Assistant,İç Denetim Asistanı
Internal Audit Director,İç Denetim Direktörü
Internal Audit Executive,İç Denetim Yöneticisi
Internal Audit Manager,İç Denetim Müdürü
Internal Audit Officer,İç Denetim Görevlisi
Internal Audit Supervisor,İç Denetim Denetçisi
Internal Auditor,İç Denetçi
Internal Communications Specialist,Dahili İletişim Uzmanı
Internal Control Executive,İç Kontrol Yöneticisi
Internal Control Manager,İç Kontrol Müdürü
Internal Controls Specialist,İç Kontrol Uzmanı
Internal Recruitment Consultant,Dahili İse Alım Danışmanı
Internal Revenue Agent,Vergi Denetmeni
Internal Sales,Dahili Satışlar
Internal Sales Engineer,Dahili Satış Mühendisi
Internal Sales Executive,Dahili Satış Yöneticisi
Internal Sales Manager,Dahili Satış Müdürü
Internal Wholesaler,Dahili Toptancı
International Affairs Specialist,Uluslararası İlişkiler Uzmanı
International Business Development Manager,Uluslararası İş Geliştirme Müdürü
International Business Manager,Uluslararası İşletme Müdürü
International Manager,Uluslararası İşler Müdürü
International Marketing Executive,Uluslararası Pazarlama Yöneticisi
International Officer,Uluslararası İşler Görevlisi
International Organisation For Standardisation Executive,Uluslararası Standardizasyon Yöneticisi
International Sales Executive,Uluslararası Satış Yöneticisi
International Sales Manager,Uluslararası Satış Müdürü
International Sales Representative,Uluslararası Satış Temsilcisi
International Specialist,Uluslararası Uzman
International Student Officer,Uluslararası Öğrenci Görevlisi
Internet Network Specialist,Ağ Uzmanı
Internet Of Things Engineer,Nesnelerin İnterneti Mühendisi
Internet Protocol Network Engineer,IP Ağ Mühendisi
Internet of Things Manager,Nesnelerin İnterneti Yöneticisi
Internet of Things Specialist,Nesnelerin İnterneti Uzmanı
Internship Trainee,Stajyer
Interpreter,Tercüman
Inventor,Mucit
Inventory Accountant,Envanter Muhasebecisi
Inventory Administrator,Envanter Yöneticisi
Inventory Analyst,Envanter Analisti
Inventory Assistant,Envanter Asistanı
Inventory Associate,Envanter Sorumlusu
Inventory Clerk,Envanter Memuru
Inventory Control Analyst,Envanter Kontrol Analisti
Inventory Control Assistant,Envanter Kontrol Asistanı
Inventory Control Clerk,Envanter Kontrol Memuru
Inventory Control Executive,Envanter Kontrol Yöneticisi
Inventory Control Manager,Envanter Kontrol Müdürü
Inventory Control Officer,Envanter Kontrol Görevlisi
Inventory Controller,Envanter Kontrol Sorumlusu
Inventory Coordinator,Envanter Koordinatörü
Inventory Executive,Envanter Yöneticisi
Inventory Management Executive,Envanter Yönetim Yöneticisi
Inventory Management Officer,Envanter Yönetim Görevlisi
Inventory Manager,Envanter Müdürü
Inventory Officer,Envanter Görevlisi
Inventory Planner,Envanter Planlamacısı
Inventory Specialist,Envanter Uzmanı
Inventory Supervisor,Envanter Süpervizörü
Investigation Executive,Soruşturma Yöneticisi
Investigations Manager,Soruşturma Müdürü
Investigations Specialist,Soruşturma Uzmanı
Investigator,Sorgulayıcı
Investment Adviser,Yatırım Danışmanı
Investment Analyst,Yatırım Analisti
Investment Banking Analyst,Yatırım Bankacılığı Analisti
Investment Banking Associate,Yatırım Bankacılığı Sorumlusu
Investment Banking Intern,Yatırım Bankacılığı Stajyer
Investment Consultant,Yatırım Danışmanı
Investment Executive,Yatırım Yöneticisi
Investment Manager,Yatırım Müdürü
Investment Risk Executive,Yatırım Risk Yöneticisi
Investment Share Executive,Yatırım Hisse Yöneticisi
Investment Specialist,Yatırım Uzmanı
Investor,Yatırımcı
Investor Relations Manager,Yatırımcı İlişkileri Müdürü
Investor Relations Officer,Yatırımcı İlişkileri Görevlisi
Invoicing Assistant,Fatura Asistanı
Invoicing Clerk,Fatura Memuru
Invoicing Coordinator,Fatura Koordinatörü
Invoicing Specialist,Fatura Uzmanı
IoT Analyst,IoT Analisti
IoT Consultant,IoT Danışmanı
IoT Developer,IoT Geliştiricisi
IoT Director,IoT Direktörü
IoT Engineer,IoT Mühendisi
IoT Intern,IoT Stajyeri
IoT Manager,IoT Yöneticisi
IoT Researcher,IoT Araştırmacısı
IoT Specialist,IoT Uzmanı
Ios Android Developer,iOS Android Geliştiricisi
Ios Application Developer,iOS Uygulama Geliştiricisi
Ios Developer,iOS Geliştiricisi
Ios Engineer,iOS Mühendisi
Iphone Developer,iPhone Geliştiricisi
Ironworker,Demir İşçisi
Irrigation Engineer,Sulama Mühendisi
Irrigation Technician,Sulama Teknikeri
Iso Coordinator,ISO Koordinatörü
It Project Management Person,BT Proje Yönetim Uzmanı
It Service Management Specialist,BT Hizmet Yönetimi Uzmanı
It Traineeship,
Itsm Consultant,ITSM Danışmanı
J2Ee Developer,J2EE Geliştiricisi
Janitor,Kapıcı
Japanese Translator,Japonca Tercümanı
Java Analyst,Java Analisti
Java Applications Developer,Java Uygulama Geliştiricisi
Java Architect,Java Mimarı
Java Consultant,Java Danışmanı
Java Developer,Java Geliştiricisi
Java Development Environment Consultant,Java Geliştirme Ortamı Danışmanı
Java Development Environment Developer,Java Geliştirme Ortamı Geliştiricisi
Java Engineer,Java Mühendisi
Java J2Ee Developer,Java J2EE Geliştiricisi
Java Lead Developer,Java Baş Geliştiricisi
Java Microservices Developer,Java Mikroservis Geliştiricisi
Java Programmer,Java Programcısı
Java Software Developer,Java Yazılım Geliştiricisi
Java Software Engineer,Java Yazılım Mühendisi
Java Specialist,Java Uzmanı
Java Technical Lead,Java Teknik Lideri
Java Web Developer,Java Web Geliştiricisi
Javascript Developer,JavaScript Geliştiricisi
Javascript Engineer,JavaScript Mühendisi
Jeweler,Kuyumcu
Jewellery Sales Consultant,Mücevher Satış Danışmanı
Jewelry Artist,Mücevher Sanatçısı
Jewelry Consultant,Mücevher Danışmanı
Jewelry Designer,Mücevher Tasarımcısı
Jewelry Maker,Mücevher Üreticisi
Jewelry Manager,Mücevher Şefi
Jewelry Sales Associate,Mücevher Satış Danışmanı
Jewelry Salesperson,Mücevher Satıcısı
Jewelry Supervisor,Mücevher Satış Şefi
Job Coach,İş Danışmanı
Job Controller,İş Kontrolörü
Jockey,Cokey
Joiner,Marangoz
Journal Clerk,
Journalist,Gazeteci
Journeyman,Kalfa
Journeyman Ironworker,Demir İşleri Kalfa
Journeyperson,Kalfa
Journeywoman,Kalfa
Judge,Yargıç
Judge's Associate,Yargıç Yardımcısı
Judicial Intern,Adli Stajyer
Juicer,Meyve Sıkıcı
Junior Account,Genç Muhasebeci
Junior Accountant,Genç Muhasebeci
Junior Assistant,Genç Asistan
Junior Consultant,Genç Danışman
Junior Data Analyst,Genç Veri Analisti
Junior Database Administrator,Genç Veritabanı Yöneticisi
Junior Designer,Genç Tasarımcı
Junior Development Analyst,Genç Geliştirme Analisti
Junior Engineer,Genç Mühendis
Junior Engineering,Genç Mühendislik
Junior Java Developer,Genç Java Geliştiricisi
Junior Programmer,Genç Programcı
Junior Project Manager,Genç Proje Yöneticisi
Junior Researcher,Genç Araştırmacı
Junior Software Developer,Genç Yazılım Geliştiricisi
Junior Software Engineer,Genç Yazılım Mühendisi
KYC Agent,KYC Acentesi
KYC Analyst,KYC Analisti
KYC Associate,KYC Danışmanı
KYC Consultant,KYC Danışmanı
KYC Executive,KYC Yöneticisi
KYC Manager,KYC Müdürü
KYC Officer,KYC Görevlisi
Karate Instructor,Karate Eğitmeni
Kayak Instructor,Kayak Eğitmeni
Keeper,Koruyucu
Key Account,Kilit Müşteri
Key Account Executive,Kilit Müşteri Yöneticisi
Key Account Manager,Kilit Müşteri Yöneticisi
Key Account Officer,Kilit Müşteri Görevlisi
Key Account Representative,Müşteri Temsilcisi
Key Account Sales Manager,Büyük Müşteri Satış Müdürü
Key Account Sales Specialist,Büyük Müşteri Satış Uzmanı
Key Account Specialist,Büyük Müşteri Uzmanı
Key Carrier,Ana Taşıyıcı
Key Opinion Leaders Specialist,Kilit Opin Lider Uzmanı
