Job Titles_En,Turkce_Meslek
Head Of Logistics,Lojistik Müdürü
Head Of Maintenance,Bakım Müdürü
Head Of Marketing,Pazarlama Müdürü
Head Of Modern Trade,Modern Ticaret Müdürü
Head Of Network Operations,Ağ Operasyonları Müdürü
Head Of Operations,Operasyon Müdürü
Head Of People,İnsan Kaynakları Müdürü
Head Of Planning,Planlama Müdürü
Head Of Plant,Fabrika Müdürü
Head Of Procurement,Tedarik Müdürü
Head Of Product,Ürün Müdürü
Head Of Production,Üretim Müdürü
Head Of Programs,Programlar Müdürü
Head Of Property,Gayrimenkul Müdürü
Head Of Public Relations,Halkla İlişkiler Müdürü
Head Of Quality,Kalite Müdürü
Head Of Region,Bölge Müdürü
Head Of Retail,Perakende Müdürü
Head Of Sales,Satış Müdürü
Head Of Sales And Marketing,Satış ve Pazarlama Müdürü
Head Of School,
Head Of Social Media,Sosyal Medya Müdürü
Head Of Software Engineering,Yazılım Mühendisliği Müdürü
Head Of Tax,Vergi Müdürü
Head Of Technical,Teknik Müdür
Head Of Technical Services,Teknik Servisler Müdürü
Head Of Technology,Teknoloji Müdürü
Head Of Training,Eğitim Müdürü
Head Of Treasury,Hazine Müdürü
Head Of Wealth Management,Servet Yönetimi Müdürü
Head Swim Coach,Baş Yüzme Koçu
Head of Business Development,İş Geliştirme Müdürü
Head of CX,Müşteri Deneyimi Müdürü
Head of Communications,İletişim Müdürü
Head of Customer Experience,Müşteri Deneyimi Müdürü
Head of Department,Departman Müdürü
Head of Equities,Hisse Senedi Müdürü
Head of Ethics,Etik Müdürü
Head of FP&A,Finansal Planlama ve Analiz Müdürü
Head of Finance,Finans Müdürü
Head of Financial Planning,Finansal Planlama Müdürü
Head of Global Ethics,Küresel Etik Müdürü
Head of HR,İnsan Kaynakları Müdürü
Head of Human Resources,İnsan Kaynakları Müdürü
Head of Information Technology,Bilgi Teknolojileri Müdürü
Head of IoT,Nesnelerin İnterneti Müdürü
Head of Knowledge Management,Bilgi Yönetimi Müdürü
Head of Languages,Dil Eğitimi Müdürü
Head of MFL,Yabancı Diller Müdürü
Head of Machine Learning,Makine Öğrenimi Müdürü
Head of Marketing,Pazarlama Müdürü
Head of Operations,Operasyon Müdürü
Head of QA,Kalite Güvence Müdürü
Head of Risk,Risk Müdürü
Head of Rugby,
Head of Sales,Satış Müdürü
Head of UX,Kullanıcı Deneyimi Müdürü
Head of Unit,Birim Müdürü
Head of Upper School,
Health  Safety Executive,
Health Adviser,Sağlık Danışmanı
Health And Physical Education Teacher,Beden Eğitimi ve Sağlık Öğretmeni
Health And Safety Consultant,İş Sağlığı ve Güvenliği Danışmanı
Health And Safety Coordinator,İş Sağlığı ve Güvenliği Koordinatörü
Health And Safety Manager,İş Sağlığı ve Güvenliği Müdürü
Health And Safety Officer,İş Sağlığı ve Güvenliği Görevlisi
Health And Safety Supervisor,İş Sağlığı ve Güvenliği Denetçisi
Health Assistant,Sağlık Asistanı
Health Coordinator,Sağlık Koordinatörü
Health Manager,Sağlık Müdürü
Health Officer,Sağlık Görevlisi
Health Safety And Environment Coordindator,"İş Sağlığı, Güvenliği ve Çevre Koordinatörü"
Health Safety And Environment Manager,"İş Sağlığı, Güvenliği ve Çevre Müdürü"
Health Safety And Environment Officer,"İş Sağlığı, Güvenliği ve Çevre Görevlisi"
Health Safety And Environment Supervisor,"İş Sağlığı, Güvenliği ve Çevre Denetçisi"
Health Safety Environment Advisor,"İş Sağlığı, Güvenliği ve Çevre Danışmanı"
Health Safety Environment Coordinator,"İş Sağlığı, Güvenliği ve Çevre Koordinatörü"
Health Safety Environment Engineer,"İş Sağlığı, Güvenliği ve Çevre Mühendisi"
Health Safety Environment Officer,"İş Sağlığı, Güvenliği ve Çevre Görevlisi"
Health Safety Environment Supervisor,"İş Sağlığı, Güvenliği ve Çevre Denetçisi"
Health Safety Security And Environment Executive,"İş Sağlığı, Güvenliği, Güvenlik ve Çevre Yöneticisi"
Health Safety Security And Environment Manager,"İş Sağlığı, Güvenliği, Güvenlik ve Çevre Müdürü"
Healthcare Assistant,Sağlık Bakım Asistanı
Healthcare Executive,Sağlık Yöneticisi
Healthcare Professional,Sağlık Profesyoneli
Healthcare Recruiter,Sağlık İşe Alım Uzmanı
Healthcare Specialist,Sağlık Uzmanı
Heating Air Conditioning Service Technician,Isıtma Soğutma Servis Teknisyeni
Heating Air Conditioning Specialist,Isıtma Soğutma Uzmanı
Heating Air Conditioning Technician,Isıtma Soğutma Teknisyeni
Heating And Air Conditioning Engineer,Isıtma ve Soğutma Mühendisi
Heating Ventilation Air Conditioning Supervisor,Isıtma Havalandırma Soğutma Denetçisi
"Heating, Ventilation, and Air Conditioning Business Owner","Isıtma, Havalandırma ve Soğutma İşletme Sahibi"
"Heating, Ventilation, and Air Conditioning Consultant","Isıtma, Havalandırma ve Soğutma Danışmanı"
"Heating, Ventilation, and Air Conditioning Drafter","Isıtma, Havalandırma ve Soğutma Teknik Çizeri"
"Heating, Ventilation, and Air Conditioning Estimator","Isıtma, Havalandırma ve Soğutma Maliyet Tahmincisi"
"Heating, Ventilation, and Air Conditioning Instructor","Isıtma, Havalandırma ve Soğutma Eğitmeni"
"Heating, Ventilation, and Air Conditioning Manager","Isıtma, Havalandırma ve Soğutma Müdürü"
Heavy Duty Cleaner,Ağır İş Temizlikçisi
Heavy Duty Operator,Ağır İş Makine Operatörü
Heavy Equipment Fitter,Ağır Ekipman Montajcısı
Heavy Equipment Mechanic,Ağır Ekipman Mekanik Teknikeri
Heavy Equipment Operator,Ağır Ekipman Operatörü
Heavy Machinery Mechanic,Ağır Makine Mekanik Teknikeri
Heavy Machinery Operator,Ağır Makine Operatörü
Helicopter Pilot,Helikopter Pilotu
Help Desk Specialist,Destek Uzmanı
Helpdesk Associate,Destek Danışmanı
Helpdesk Engineer,Destek Mühendisi
Helpdesk Executive,Destek Yöneticisi
Helpdesk Lead,Destek Lideri
Helpdesk Specialist,Destek Uzmanı
Helpdesk Supervisor,Destek Süpervizörü
Helpdesk Support,Destek Görevlisi
Helpdesk Support Engineer,Destek Destek Mühendisi
Helpdesk Technician,Destek Teknisyeni
Helper,Yardımcı
Hemodialysis Licensed Practical Nurse,Hemodiyaliz Uygulamalı Pratik Hemşiresi
High School,
High School English Teacher,Lise İngilizce Öğretmeni
High School Teacher,Lise Öğretmeni
High Voltage Electrical Engineer,Yüksek Gerilim Elektrik Mühendisi
Higher Education Consultant,Yükseköğretim Danışmanı
Higher Education Specialist,Yükseköğretim Uzmanı
Highway Engineer,Karayolu Mühendisi
Hip Hop Artist,Hip Hop Sanatçısı
Histopathology Scientist,Histopatoloji Bilimcisi
Historian,Tarihçi
History Specialist,Tarih Uzmanı
History Teacher,Tarih Öğretmeni
Home Care Physical Therapist,Evde Bakım Fizyoterapisti
Home Care Provider,Evde Bakım Sağlayıcısı
Home Economist,Ev Ekonomisti
Home Health Aide,Evde Sağlık Yardımcısı
Home Health Licensed Practical Nurse,Evde Sağlık Uygulamalı Pratik Hemşiresi
Home Health Nurse,Evde Sağlık Hemşiresi
Homemaker,Ev Hanımı/Erkek
Horticulture Supervisor,Bahçe Tarımı Süpervizörü
Hospice Licensed Practical Nurse,Palyatif Bakım Uygulamalı Pratik Hemşiresi
Hospice Nursing Assistant,Palyatif Bakım Hemşire Yardımcısı
Hospital Assistant,Hastane Yardımcısı
Hospitalist,Hastane Doktoru
Hospitality Ambassador,Konukseverlik Elçisi
Hospitality Assistant,Konukseverlik Yardımcısı
Hospitality Manager,Konukseverlik Yöneticisi
Hospitality Sales Manager,Konukseverlik Satış Yöneticisi
Hospitality Specialist,Konukseverlik Uzmanı
Host,Ev Sahibi
Hostel Warden,Pansiyon Yöneticisi
Hostess,Hostes
Hotel General Manager,Otel Genel Müdürü
Hotel Manager,Otel Müdürü
Hotel Operations Manager,Otel Operasyon Müdürü
Hotel Receptionist,Otel Resepsiyonisti
Hotel Specialist,Otel Uzmanı
House Parent,Ev Sahibi/Ebeveyn
Household Manager,Ev Yöneticisi
Housekeeper,Ev Hizmetlisi
Housekeeping,Ev İşleri
Housekeeping Assistant,Ev İşleri Asistanı
Housekeeping Attendant,Ev İşleri Görevlisi
Housekeeping Manager,Ev İşleri Müdürü
Housekeeping Specialist,Ev İşleri Uzmanı
Housekeeping Supervisor,Ev İşleri Amiri
Housewife,Ev Hanımı
Housing Inspector,Konut Müfettişi
Housing Specialist,Konut Uzmanı
Hp Consultant,HP Danışmanı
Hub Manager,Hub Müdürü
Hub Supervisor,Hub Amiri
Human Capital Consultant,İnsan Sermayesi Danışmanı
Human Capital Executive,İnsan Sermayesi Yöneticisi
Human Capital Manager,İnsan Sermayesi Müdürü
Human Capital Specialist,İnsan Sermayesi Uzmanı
Human Resource,İnsan Kaynakları
Human Resource Executive,İnsan Kaynakları Yöneticisi
Human Resource Information System Analyst,İnsan Kaynakları Bilgi Sistemleri Analisti
Human Resource Information System Manager,İnsan Kaynakları Bilgi Sistemleri Müdürü
Human Resource Information System Specialist,İnsan Kaynakları Bilgi Sistemleri Uzmanı
Human Resource Supervisor,İnsan Kaynakları Amiri
Human Resources Administration Executive,İnsan Kaynakları İdaresi Yöneticisi
Human Resources Administration Officer,İnsan Kaynakları İdaresi Görevlisi
Human Resources Administrator,İnsan Kaynakları İdarecisi
Human Resources Adviser,İnsan Kaynakları Danışmanı
Human Resources Analyst,İnsan Kaynakları Analisti
Human Resources And Administration Assistant,İnsan Kaynakları ve İdare Asistanı
Human Resources And Administration Executive,İnsan Kaynakları ve İdare Yöneticisi
Human Resources And Administration Manager,İnsan Kaynakları ve İdare Müdürü
Human Resources And Administration Officer,İnsan Kaynakları ve İdare Görevlisi
Human Resources And General Affairs Executive,İnsan Kaynakları ve Genel İşler Yöneticisi
Human Resources Assistant,İnsan Kaynakları Asistanı
Human Resources Associate,İnsan Kaynakları Uzman Yardımcısı
Human Resources Business Partner,İnsan Kaynakları İş Ortağı
Human Resources Clerk,İnsan Kaynakları Memuru
Human Resources Consultant,İnsan Kaynakları Danışmanı
Human Resources Coordinator,İnsan Kaynakları Koordinatörü
Human Resources Development Manager,İnsan Kaynakları Geliştirme Müdürü
Human Resources Director,İnsan Kaynakları Direktörü
Human Resources Executive,İnsan Kaynakları Yöneticisi
Human Resources Generalist,İnsan Kaynakları Uzmanı
Human Resources Information System Executive,İnsan Kaynakları Bilgi Sistemleri Yöneticisi
Human Resources Intern,İnsan Kaynakları Stajyeri
Human Resources Management,İnsan Kaynakları Yönetimi
Human Resources Manager,İnsan Kaynakları Müdürü
Human Resources Officer,İnsan Kaynakları Görevlisi
Human Resources Operations Manager,İnsan Kaynakları Operasyon Müdürü
Human Resources Partner,İnsan Kaynakları Ortağı
Human Resources Positions,İnsan Kaynakları Pozisyonları
Human Resources Project Manager,İnsan Kaynakları Proje Müdürü
Human Resources Recruiter,İnsan Kaynakları İşe Alım Uzmanı
Human Resources Representative,İnsan Kaynakları Temsilcisi
Human Resources Shared Services Center Executive,İnsan Kaynakları Paylaşılan Hizmetler Merkezi Yöneticisi
Human Resources Specialist,İnsan Kaynakları Uzmanı
Human Resources Staffing,
Human Services Coordinator,İnsan Hizmetleri Koordinatörü
Human Systems Engineering Engineer,İnsan Sistemleri Mühendisi
Hvac Engineer,"Isıtma, Havalandırma ve Klima Mühendisi"
Hvac Project Manager,"Isıtma, Havalandırma ve Klima Proje Müdürü"
Hydraulic Engineer,Hidrolik Mühendisi
Hydraulic Mechanic,Hidrolik Makinecisi
Hydraulic Technician,Hidrolik Teknisyeni
Hydrogeologist,Hidrojeolog
Hydrologist,Hidrolog
Hygiene Technician,Hijyen Teknisyeni
Hygienist,Hijyen Uzmanı
Hypnotherapist,Hipnoterapist
Hypnotist,Hipnotist
IBD Analyst,
IBD Associate,
IBD Intern,
IBM Consultant,IBM Danışmanı
IBM Project Manager,IBM Proje Müdürü
ICT Manager,BİT (Bilgi ve İletişim Teknolojileri) Müdürü
IELTS Instructor,IELTS Eğitmeni
IELTS Trainer,IELTS Eğitmeni
IP Engineering Manager,IP Mühendisliği Müdürü
IRS Agent,
IS Analyst,Bilgi Sistemleri Analisti
IS Manager,Bilgi Sistemleri Müdürü
IT Analyst,BT Analisti
IT Consultant,BT Danışmanı
IT Helper,BT Destek Görevlisi
IT Manager,BT Müdürü
IT Project Manager,BT Proje Müdürü
IT Specialist,BT Uzmanı
IT Support Specialist,BT Destek Uzmanı
IT Support Technician,BT Destek Teknisyeni
IT Technician,BT Teknisyeni
Ict Procurement Specialist,BİT Tedarik Uzmanı
Identity Access Management Architect,Kimlik Erişim Yönetimi Mimarı
Identity And Access Management Consultant,Kimlik ve Erişim Yönetimi Danışmanı
Identity And Access Management Engineer,Kimlik ve Erişim Yönetimi Mühendisi
Identity And Access Management Specialist,Kimlik ve Erişim Yönetimi Uzmanı
Identity And Access Manager,Kimlik ve Erişim Yöneticisi
Identity Engineer,Kimlik Mühendisi
Identity Management Consultant,Kimlik Yönetimi Danışmanı
Illustrator,İllüstratör
Image Specialist,Görüntü Uzmanı
Imagery Analyst,Görüntü Analisti
Imaging Specialist,Görüntüleme Uzmanı
Immigration Consultant,Göç Danışmanı
Immigration Services Officer,Göç Hizmetleri Görevlisi
Immigration Specialist,Göç Uzmanı
Implementation Consultant,Uygulama Danışmanı
Implementation Engineer,Uygulama Mühendisi
Implementation Executive,Uygulama Yöneticisi
Implementation Lead,Uygulama Lideri
Implementation Manager,Uygulama Yöneticisi
Implementation Project Manager,Uygulama Proje Yöneticisi
Implementation Specialist,Uygulama Uzmanı
Implementator,Uygulayıcı
Implementor,Uygulayıcı
Import Executive,İthalat Yöneticisi
Import Manager,İthalat Müdürü
Import Specialist,İthalat Uzmanı
Improvement Engineer,İyileştirme Mühendisi
Improvement Lead,İyileştirme Lideri
Improvement Specialist,İyileştirme Uzmanı
In House Lawyer,Dahili Avukat
Inbound Customer Service Representative,Gelen Müşteri Hizmetleri Temsilcisi
Inbound Executive,Gelen İş Yöneticisi
Inbound Sales Consultant,Gelen Satış Danışmanı
Inbound Sales Role,Gelen Satış Temsilcisi
Incharge,Sorumlu
Incident Management,Olay Yönetimi
Incident Manager,Olay Yöneticisi
Incident Responder,Olay Müdahale Görevlisi
Incident Response Consultant,Olay Müdahale Danışmanı
Inclusion Assistant,Kapsayıcılık Asistanı
Income Auditor,Gelir Denetçisi
Independent Contractor,Bağımsız Taşeron
Independent Jeweler,Bağımsız Mücevherci
Independent Owner,Bağımsız Sahip
Indoor Sales Coordinator,İç Satış Koordinatörü
Indoor Sales Executive,İç Satış Yöneticisi
