Job Titles_En,Turkce_Meslek
Principal Clerk Typist,Başkatip
Principal Database Administrator,Baş Veritabanı Yöneticisi
Principal Hydrogeologist,Baş Hidrojeolog
Principal Lecturer,Başöğretim Görevlisi
Principal Member of Technical Staff,Kıdemli Teknik Personel Üyesi
Principal Owner,Başsahip
Principal Radio Frequency Engineer,Baş Radyo Frekans Mühendisi
Principal Specialist,Başuzman
Principal Typist,Başdaktilograf
Printed Circuit Board Design Engineer,Baskılı Devre Kartı Tasarım Mühendisi
Printed Circuit Board Designer,Baskılı Devre Kartı Tasarımcısı
Printer Technician,Yazıcı Teknikeri
Printing Machine Operator,Baskı Makinesi Operatörü
Printing Operator,Baskı Operatörü
Privacy Analyst,Gizlilik Analisti
Private Duty Nurse,Özel Görev Hemşiresi
Private Equity Specialist,Özel Sermaye Uzmanı
Private Secretary,Özel Sekreter
Private Tutor,Özel Öğretmen
Problem Manager,Sorun Yöneticisi
Process Analyst,Süreç Analisti
Process And Change Specialist,Süreç ve Değişim Uzmanı
Process Assistant,Süreç Asistanı
Process Associate,Süreç Danışmanı
Process Configuration Engineer,Süreç Yapılandırma Mühendisi
Process Consultant,Süreç Danışmanı
Process Control Engineer,Süreç Kontrol Mühendisi
Process Control Systems Engineer,Süreç Kontrol Sistemleri Mühendisi
Process Controller,Süreç Kontrolcüsü
Process Coordinator,Süreç Koordinatörü
Process Development Engineer,Süreç Geliştirme Mühendisi
Process Engineer,Süreç Mühendisi
Process Executive,Süreç Yöneticisi
Process Expert,Süreç Uzmanı
Process Improvement Engineer,Süreç İyileştirme Mühendisi
Process Improvement Executive,Süreç İyileştirme Yöneticisi
Process Lead,Süreç Lideri
Process Manager,Süreç Yöneticisi
Process Officer,Süreç Görevlisi
Process Owner,Süreç Sahibi
Process Safety Engineer,Süreç Güvenlik Mühendisi
Process Specialist,Süreç Uzmanı
Process Technician,Süreç Teknikeri
Process Technologist,Süreç Teknologu
Process Trainer,Süreç Eğitmeni
Processing Assistant,İşleme Asistanı
Processing Executive,İşleme Yöneticisi
Processing Manager,İşleme Yöneticisi
Processing Officer,İşleme Görevlisi
Processing Supervisor,İşleme Süpervizörü
Procure To Pay Associate,Satın Alma ve Ödeme İşlemleri Uzmanı
Procurement,Tedarik
Procurement Administrator,Tedarik Yöneticisi
Procurement Analyst,Tedarik Analisti
Procurement And Logistics Assistant,Tedarik ve Lojistik Asistanı
Procurement Assistant,Tedarik Asistanı
Procurement Business Partner,Tedarik İş Ortağı
Procurement Buyer,Satın Alma Uzmanı
Procurement Clerk,Tedarik Memuru
Procurement Coordinator,Tedarik Koordinatörü
Procurement Director,Tedarik Direktörü
Procurement Engineer,Tedarik Mühendisi
Procurement Executive,Tedarik Yöneticisi
Procurement Lead,Tedarik Lideri
Procurement Manager,Tedarik Müdürü
Procurement Officer,Tedarik Görevlisi
Procurement Professional,Tedarik Profesyoneli
Procurement Specialist,Tedarik Uzmanı
Procurement Supervisor,Tedarik Süpervizörü
Procurement Support Officer,Tedarik Destek Görevlisi
Producer,Üretici
Product Adviser,Ürün Danışmanı
Product Analyst,Ürün Analisti
Product Assistant,Ürün Asistanı
Product Associate,Ürün Uzmanı
Product Consultant,Ürün Danışmanı
Product Controller,Ürün Kontrolörü
Product Coordinator,Ürün Koordinatörü
Product Design Engineer,Ürün Tasarım Mühendisi
Product Designer,Ürün Tasarımcısı
Product Developer,Ürün Geliştiricisi
Product Development Assistant,Ürün Geliştirme Asistanı
Product Development Engineer,Ürün Geliştirme Mühendisi
Product Development Executive,Ürün Geliştirme Yöneticisi
Product Development Manager,Ürün Geliştirme Müdürü
Product Development Scientist,Ürün Geliştirme Bilimcisi
Product Development Specialist,Ürün Geliştirme Uzmanı
Product Engineer,Ürün Mühendisi
Product Engineering Manager,Ürün Mühendislik Müdürü
Product Executive,Ürün Yöneticisi
Product Lead,Ürün Lideri
Product Management Executive,Ürün Yönetim Yöneticisi
Product Management Manager,Ürün Yönetim Müdürü
Product Manager,Ürün Müdürü
Product Marketing Executive,Ürün Pazarlama Yöneticisi
Product Marketing Manager,Ürün Pazarlama Müdürü
Product Marketing Specialist,Ürün Pazarlama Uzmanı
Product Officer,Ürün Görevlisi
Product Owner,Ürün Sahibi
Product Planning Manager,Ürün Planlama Müdürü
Product Planning Specialist,Ürün Planlama Uzmanı
Product Quality Engineer,Ürün Kalite Mühendisi
Product Sales Manager,Ürün Satış Müdürü
Product Sales Specialist,Ürün Satış Uzmanı
Product Service Coordinator,Ürün Hizmet Koordinatörü
Product Specialist,Ürün Uzmanı
Product Supervisor,Ürün Denetçisi
Product Support,Ürün Destek Görevlisi
Product Support Engineer,Ürün Destek Mühendisi
Product Support Specialist,Ürün Destek Uzmanı
Product Trainer,Ürün Eğitmeni
Production Analyst,Üretim Analisti
Production And Material Control Executive,Üretim ve Malzeme Kontrol Yöneticisi
Production Assistant,Üretim Asistanı
Production Associate,Üretim Görevlisi
Production Clerk,Üretim Memuru
Production Control Engineer,Üretim Kontrol Mühendisi
Production Control Officer,Üretim Kontrol Görevlisi
Production Controller,Üretim Kontrolörü
Production Coordinator,Üretim Koordinatörü
Production Database Administrator,Üretim Veritabanı Yöneticisi
Production Designer,Üretim Tasarımcısı
Production Engineer,Üretim Mühendisi
Production Executive,Üretim Yöneticisi
Production Lead,Üretim Şefi
Production Leader,Üretim Lideri
Production Line Leader,Üretim Hattı Lideri
Production Line Supervisor,Üretim Hattı Denetçisi
Production Manager,Üretim Müdürü
Production Manufacturing Executive,Üretim İmalat Yöneticisi
Production Officer,Üretim Görevlisi
Production Operator,Üretim Operatörü
Production Pharmacist,Üretim Eczacı
Production Planner,Üretim Planlamacısı
Production Planner Executive,Üretim Planlama Yöneticisi
Production Planning And Control Executive,Üretim Planlama ve Kontrol Yöneticisi
Production Planning And Inventory Control Executive,Üretim Planlama ve Envanter Kontrol Yöneticisi
Production Planning Control,Üretim Planlama Kontrolü
Production Planning Control Staff,Üretim Planlama Kontrol Personeli
Production Planning Engineer,Üretim Planlama Mühendisi
Production Planning Executive,Üretim Planlama Yöneticisi
Production Planning Manager,Üretim Planlama Müdürü
Production Planning Officer,Üretim Planlama Görevlisi
Production Runner,Üretim Sorumlusu
Production Scheduler,Üretim Çizelgeleyicisi
Production Specialist,Üretim Uzmanı
Production Superintendent,Üretim Süpervizörü
Production Supervisor,Üretim Denetçisi
Production Team Leader,Üretim Ekip Lideri
Production Technician,Üretim Teknisyen
Production Technologist,Üretim Teknologu
Production Worker,Üretim Çalışanı
Productivity Analyst,Verimlilik Analisti
Productivity Manager,Verimlilik Müdürü
Professional,Profesyonel
Professional Accountant,Serbest Muhasebeci Mali Müşavir
Professional Medical Representative,Profesyonel Medikal Temsilci
Professional Musician,Profesyonel Müzisyen
Professional Nurse,Profesyonel Hemşire
Professional Rugby Player,Profesyonel Ragbi Oyuncusu
Professional Services Consultant,Profesyonel Hizmetler Danışmanı
Professional Services Engineer,Profesyonel Hizmetler Mühendisi
Professional Services Manager,Profesyonel Hizmetler Müdürü
Professional Singer,Profesyonel Şarkıcı
Professor,Profesör
Professor of Economics,Ekonomi Profesörü
Program Aide,Program Yardımcısı
Program Analyst,Program Analisti
Program Assistant,Program Asistanı
Program Coordinator,Program Koordinatörü
Program Director,Program Direktörü
Program Engineer,Program Mühendisi
Program Executive,Program Yöneticisi
Program Lead,Program Lideri
Program Management Executive,Program Yönetim Yöneticisi
Program Management Manager,Program Yönetim Müdürü
Program Manager,Program Yöneticisi
Program Owner,Program Sahibi
Program Specialist,Program Uzmanı
Programmable Logic Controller Engineer,Programlanabilir Mantık Denetleyici Mühendisi
Programmable Logic Controller Programmer,Programlanabilir Mantık Denetleyici Programcısı
Programme Advisor,Program Danışmanı
Programme Management,Program Yönetimi
Programme Manager,Program Yöneticisi
Programmer,Programcı
Progressive Care Nurse,
Project Accountant,Proje Muhasebecisi
Project Administration Role,Proje Yönetim Görevlisi
Project Administrator,Proje Yöneticisi
Project Advisor,Proje Danışmanı
Project Analyst,Proje Analisti
Project Architect,Proje Mimarı
Project Assistant,Proje Asistanı
Project Associate,Proje Görevlisi
Project Captain,
Project Clerk,Proje Katipliği
Project Consultant,Proje Danışmanı
Project Controller,Proje Kontrolörü
Project Controls Manager,Proje Kontrol Müdürü
Project Coordinator,Proje Koordinatörü
Project Cost Controller,Proje Maliyet Kontrolörü
Project Delivery Manager,Proje Teslimat Yöneticisi
Project Design Engineer,Proje Tasarım Mühendisi
Project Designer,Proje Tasarımcısı
Project Development Engineer,Proje Geliştirme Mühendisi
Project Development Manager,Proje Geliştirme Yöneticisi
Project Director,Proje Direktörü
Project Electrical Engineer,Proje Elektrik Mühendisi
Project Engineer,Proje Mühendisi
Project Engineer Manager,Proje Mühendislik Yöneticisi
Project Engineering,Proje Mühendisliği
Project Estimator,Proje Maliyet Tahmincisi
Project Executive,Proje Yürütücüsü
Project Expert,Proje Uzmanı
Project Finance Analyst,Proje Finans Analisti
Project Health Safety Environment Manager,Proje İş Sağlığı Güvenliği ve Çevre Yöneticisi
Project Hydrogeologist,Proje Hidrojeoloğu
Project Implementation Manager,Proje Uygulama Yöneticisi
Project Implementation Specialist,Proje Uygulama Uzmanı
Project Intern,Proje Stajyeri
Project Lead,Proje Lideri
Project Leader,Proje Lideri
Project Management Associate,Proje Yönetim Asistanı
Project Management Engineer,Proje Yönetim Mühendisi
Project Management Executive,Proje Yönetim Yürütücüsü
Project Management Head,Proje Yönetim Şefi
Project Management Manager,Proje Yönetim Yöneticisi
Project Management Officer,Proje Yönetim Görevlisi
Project Management Specialist,Proje Yönetim Uzmanı
Project Manager,Proje Yöneticisi
Project Manager   Digital Transformation,
Project Manager   Solar,
Project Manager  Construction Manager,
Project Manager Program Management Office,Program Yönetim Ofisi Proje Yöneticisi
Project Planner,Proje Planlamacısı
Project Planner Scheduler,Proje Planlama ve Çizelgeleme Uzmanı
Project Quality Manager,Proje Kalite Yöneticisi
Project Quantity Surveyor,Proje Miktar Ölçümcüsü
Project Sales Consultant,Proje Satış Danışmanı
Project Sales Engineer,Proje Satış Mühendisi
Project Sales Executive,Proje Satış Yürütücüsü
Project Sales Manager,Proje Satış Yöneticisi
Project Scheduler,Proje Çizelgelemecisi
Project Secretary,Proje Sekreteri
Project Services Manager,Proje Hizmetleri Yöneticisi
Project Specialist,Proje Uzmanı
Project Superintendent,Proje Şefi
Project Supervisor,Proje Denetçisi
Project Support Coordinator,Proje Destek Koordinatörü
Project Support Officer,Proje Destek Görevlisi
Project Surveyor,Proje Etütçüsü
Project Systems Engineer,Proje Sistem Mühendisi
Project Technician,Proje Teknisyeni
Promoter,Tanıtımcı
Promotions Executive,Tanıtım Sorumlusu
Promotions Manager,Tanıtım Müdürü
Property Administration Officer,Gayrimenkul İdare Görevlisi
Property Adviser,Gayrimenkul Danışmanı
Property Agent,Gayrimenkul Acentesi
Property Assistant,Gayrimenkul Asistanı
Property Consultant,Gayrimenkul Danışmanı
Property Coordinator,Gayrimenkul Koordinatörü
Property Developer,Gayrimenkul Geliştiricisi
Property Development Executive,Gayrimenkul Geliştirme Sorumlusu
