Job Titles_En,Turkce_Meslek
Secondary Teacher,Ortaokul Öğretmeni
Secretarial Assistant,Sekreter Yardımcısı
Secretarial Executive,Sekreterlik Görevlisi
Secretarial Manager,Sekreterlik Müdürü
Secretarial Officer,Sekreterlik Görevlisi
Secretariat,Sekreterlik
Secretariat Officer,Sekreterlik Görevlisi
Secretary,Sekreter
Secretary And Administration Officer,Sekreter ve İdari Görevli
Secretary Assistant,Sekreter Yardımcısı
Secretary To The Ceo,CEO'nun Sekreteri
Secretary To The Director,Müdür Sekreteri
Secretary To The General Manager,Genel Müdür Sekreteri
Secretary To The Managing Director,Yönetim Kurulu Başkanı Sekreteri
Section Engineer,Bölüm Mühendisi
Section Manager,Bölüm Müdürü
Securities Analyst,Menkul Kıymetler Analisti
Security Analyst,Güvenlik Analisti
Security And Compliance Manager,Güvenlik ve Uyum Müdürü
Security Architect,Güvenlik Mimarı
Security Assistant,Güvenlik Görevlisi Yardımcısı
Security Business Analyst,Güvenlik İş Analisti
Security Consultant,Güvenlik Danışmanı
Security Control Room Officer,Güvenlik Kontrol Odası Görevlisi
Security Engineer,Güvenlik Mühendisi
Security Executive,Güvenlik Görevlisi
Security Guard,Güvenlik Görevlisi
Security Lead,Güvenlik Lideri
Security Manager,Güvenlik Müdürü
Security Monitoring Analyst,Güvenlik İzleme Analisti
Security Officer,Güvenlik Görevlisi
Security Operations,Güvenlik Operasyonları
Security Operations Analyst,Güvenlik Operasyonları Analisti
Security Operations Centre Engineer,Güvenlik Operasyonları Merkezi Mühendisi
Security Operations Centre Manager,Güvenlik Operasyonları Merkezi Müdürü
Security Operations Manager,Güvenlik Operasyonları Müdürü
Security Personnel_2,
Security Professional,Güvenlik Uzmanı
Security Project Manager,Güvenlik Proje Müdürü
Security Screener,Güvenlik Tarama Görevlisi
Security Solution Architect,Güvenlik Çözümleri Mimarı
Security Specialist,Güvenlik Uzmanı
Security Supervisor,Güvenlik Amiri
Security System Installer,Güvenlik Sistemi Kurucusu
Security System Technician,Güvenlik Sistemi Teknisyeni
Self Check Out Host,Kendi Kendine Ödeme Hizmetlisi
Self Employed,Kendi Hesabına Çalışan
Seller,Satıcı
Selling Manager,Satış Müdürü
Senior,Kıdemli
Senior Account Manager,Kıdemli Hesap Yöneticisi
Senior Accountant,Kıdemli Muhasebeci
Senior Analyst,Kıdemli Analist
Senior Application Developer,Kıdemli Uygulama Geliştiricisi
Senior Application Security Engineer,Kıdemli Uygulama Güvenlik Mühendisi
Senior Architect,Kıdemli Mimar
Senior Associate,Kıdemli Ortak/Asosiye
Senior Auditor,Kıdemli Denetçi
Senior Brewery Representative,Kıdemli Bira Temsilcisi
Senior Business Analyst,Kıdemli İş Analisti
Senior Business Warehouse Consultant,Kıdemli İş Depo Danışmanı
Senior Captain,Kıdemli Kaptan
Senior Civil Engineer,Kıdemli İnşaat Mühendisi
Senior Clerk,Kıdemli Kâtip
Senior Closer,
Senior Coding Specialist,Kıdemli Kodlama Uzmanı
Senior Consultant,Kıdemli Danışman
Senior ETL Consultant,Kıdemli ETL Danışmanı
Senior ETL Developer,Kıdemli ETL Geliştiricisi
Senior Economist,Kıdemli Ekonomist
Senior Electrical Engineer,Kıdemli Elektrik Mühendisi
Senior Employee,Kıdemli Çalışan
Senior Engineer,Kıdemli Mühendis
Senior Epidemiologist,Kıdemli Epidemiolog
Senior Estimator,Kıdemli Tahminci/Keşif Mühendisi
Senior Executive Human Resources,Kıdemli İK Yöneticisi
Senior Fellow,Kıdemli Araştırmacı
Senior Financial Analyst,Kıdemli Finansal Analist
Senior Fraud Investigator,Kıdemli Dolandırıcılık Araştırmacısı
Senior Frontend Developer,Kıdemli Frontend Geliştiricisi
Senior Graphic Designer,Kıdemli Grafik Tasarımcısı
Senior Health Safety Environment Advisor,Kıdemli Sağlık Güvenlik Çevre Danışmanı
Senior Human Resources Manager,Kıdemli İnsan Kaynakları Yöneticisi
Senior Hydrogeologist,Kıdemli Hidrojeolog
Senior IP Engineer,Kıdemli IP Mühendisi
Senior Illustrator,Kıdemli İllüstratör
Senior Industrial Hygienist,Kıdemli Endüstriyel Hijyenist
Senior Information Technology Consultant,Kıdemli Bilgi Teknolojileri Danışmanı
Senior Internal Wholesaler,
Senior Internet of Things Engineer,Kıdemli Nesnelerin İnterneti Mühendisi
Senior IoT Engineer,Kıdemli IoT Mühendisi
Senior Java Developer,Kıdemli Java Geliştiricisi
Senior Java Engineer,Kıdemli Java Mühendisi
Senior Java Programmer,Kıdemli Java Programcısı
Senior Java Software Engineer,Kıdemli Java Yazılım Mühendisi
Senior Knowledge Engineer,Kıdemli Bilgi Mühendisi
Senior Manager Business Operations,Kıdemli İş Operasyonları Yöneticisi
Senior Manager QC,Kıdemli Kalite Kontrol Yöneticisi
Senior Medical Coder,Kıdemli Tıbbi Kodlayıcı
Senior Member of Technical Staff,Kıdemli Teknik Personel Üyesi
Senior Network Engineer,Kıdemli Ağ Mühendisi
Senior Network Specialist,Kıdemli Ağ Uzmanı
Senior Occupational Therapist,Kıdemli Mesleki Terapist
